pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,0.0000272472139723713,0.0015013533562655,-0.451691471267676,-1.93567553947592,0,123,PSME3|PSMC1|EP300|PSMD1|PSMD7|XRCC5|PSMD2|CHUK|PSMD8|ZCCHC3|MAVS|PDPK1|BTRC|PSMB5|CUL1|PSMA5|PSMC2|HEXIM1|PSMD6|PSMB6|PRKCD|PSMD11|PSPC1|PSMD5|PSMA6|PSMD12|PSMA2|PSMD14|PRKDC|PSMD4|PSMD13|NLRC4|PRKACB|PSME4|XRCC6|SIN3A|PSMA4|TBK1|PSMB2|PSMD3|IKBKG|PSMA1|NRAS|PSMC5|FBXW11|PSMA3|NFKB1|PSMC4
GO_ADENYL_NUCLEOTIDE_BINDING,0.0000204102459434636,0.0015013533562655,-0.286695329668534,-1.4862437373756,0,1392,CLP1|MOCS3|DDX28|KTI12|SEPHS2|MTOR|MIEF1|GSK3B|LANCL2|DHX8|PARS2|PSKH1|GCDH|MCCC1|PIK3R4|TWNK|IARS2|AFG3L2|DDX52|PRKAR2A|KIAA0232|PANK2|UBE4B|PCCA|PSMC1|DDX1|CHD8|PPCS|MARS2|DYNC1H1|SCYL3|ATP5F1A|ACACA|SRR|NARS1|GET3|CLPX|HSPA4|DDX20|SUCLA2|NME6|PIK3C3|ATP5F1B|PRKAG1|XRCC5|VPS4B|CDC42BPB|CLCN4|POMK|CSNK2A1|MKKS|GCLC|DHX32|IP6K1|SMC1A|SRCAP|CDK5|BAG5|CCT5|CHUK|DSTYK|EIF4G1|UBE2L3|MCCC2|TSSK4|NMNAT1|PDPK1|FBH1|TOR1B|DARS2|CLCN3|UBE2G1|UBA3|TP53RK|MAP2K4|UBE2Q1|RIPK1|UBE2K|AQR|GNE|TAOK3|ALDH6A1|RTCA|ABCF1|ATP6V1A|DYNC1LI1|NSF|MTHFD1|ATP9A|SPHK2|SRXN1|TTLL12|MAPK1|CHD4|PSMC2|PIK3CB|RPS6KA2|SMARCA5|STK24|VCP|ATP2C1|HACL1|TOR1A|STK16|NLRX1|SMC3|PDIK1L|LIG4|RAD17|SPAST|NUBP1|PANK1|CASK|ACTR8|CCT7|QRSL1|RAD50|PDK2|VWA8|RIOK2|DHX36|TOP2B|ME1|ABCD3|PRKCD|RAPGEF2|DDX23|AHCY|OPLAH|ABCD1|GPHN|LONP2|JAK1|ACTR3C|EPRS1|ACTR2|MSH3|GRPEL1|HADHA|GRK6|PI4KA|GATB|ACSL3|AACS|CBWD2|ATP13A2|PC|HLCS|YARS2|THRAP3|ATP1A1|UBE2N|ACLY|GSK3A|PRKDC|UBE2A|DDX3X|MAP2K6|ATP2A2|CCT3|DHX9|RRM1|HK1|ROCK2|BAZ1B|RIMKLA|PCCB|RPS6KC1|NOL9|TDRD9|NLRC4|ACVR1C|YME1L1|FARSA|ABCD2|DNAJA2|PRKACB|DHX33|TTL|ATP6V1B2|ACBD5|TWF2|PINK1|CCT6A|AFG1L|XRCC6|CCT2|FRK|HSPA9|ITPK1|PIP5K1B|STK26|EIF2AK4|DDX18|PIP4K2C|COASY|PRKAG2|UBA1|GLUD2|PPP5C|ATP8A2|TBK1|MPP5|KIF3B|DYRK1A|UBE2J2|PNPLA8|MARK1|INO80|ACSS2|DCAF1|SMC2|DHX29|UBE2J1|NTPCR|FAM20B|MAGI3|PANK3|FLT3|GART|PMS2|SNRNP200|EPHB4|DDX19A|SCYL2|PSMC5|MAPKAPK3|KIF16B|ACSL1|COQ8A|PIK3CA|QARS1|ADCY9|MYO7B|RPS6KA4|BMS1|KIF1B|DHX40|NADK|PRKCB|DDX6|FARS2|GLYCTK|RARS1|DDX46|RPS6KA3|ULK2|MAPK9|ABCF2|KCNJ11|CERK|ATP6AP1|PSMC4|ENTPD3|MTREX|CDK19|KIF1C|PFKM|MCM4|ABCF3|THG1L|PRPS2|STK39|EPHA4|DHX57|CLPB|TKFC|KIF2A|IDE|CSNK1G1|EGFR|SLK|UBE2D1|HSPA8|DDX49|CCT8|ACTR1B|LMTK2|PIP4K2B|SEPHS1|KIF21A|OLA1|HARS1|DNAJA3|TOR4A|WNK1|BBS10|ACTR3|FICD|DHX37|ABCC4|SYN2|TTN|GRPEL2|ACOT11|GRK3|EIF2AK1|TARS1|KIF5C|PSMC3|ABCA3|MAP2K1|ASS1|ARAF|BLM|TCP1|ORC4|SETX|KIF23|DDX54|CLCN7|SCYL1|CNNM2|CHD9|MAP3K21|ATP1B1|ACOT7|PRKAR2B|ACTR1A|AK9|RUVBL1|NOLC1|DDX42|TOP1|LARS2|DDX59|CDKL5|SMC4|VPS4A|AAK1|ACVR1|PRKCZ|CCT4|MAP3K5|ADCY6|PRKCE|NEK1|HSPA2|MCM3|PAK1|COQ8B|PGK1|NMNAT2|HSPA1L|DYNC1LI2|HMGCL|TYRO3|PIKFYVE|VRK1|WRNIP1|ADCK2|RECQL|MTHFS|ADCY3|UHMK1|HIPK2|PAPSS1|CDKL2|MAPKAPK5|ROR1|TLK2|UBE2E3|KIF13B|WNK3|MSH6|NUAK1|HSPA14|ACAD9|GALK2|UCK1|RFC1|SARS1|EARS2|PTPA|SRPK2|ATP1A2|ERCC6L2|TAOK1|ABCC1|LONP1|KIF11|SMARCA4|DDX43|UBE2I|DBI|MYH14|TSSK6|ACVR2B|DHX30|CDK7|KIF13A|ERCC6L|TRNT1|NUBPL|DCK|DYRK1B|PAICS|KIF24|MAP3K9|HIPK1|MAP4K2|PTK2B|KIF5B|MTPAP|UBA2|NRBP1|RNASEL|MSH2|TTK|AURKA|LARS1|RAD51C|MYO16|ABCG4|IPPK|ABCC6|ADCY1|DHX16|JAK2|IARS1|CAMK4|SRPK1|SMARCAD1|VRK2|G3BP1|IDH3G|NEK4|DHX38|SCN8A|HARS2|STK40|PRKAR1A|POLQ|GSS|ABCE1|MAP2K5|KIF20B|ATR|CAMK2G|UBE2T|NLK|EHD4|RAD51|SUCLG2|PEX1|RUVBL2|UBE2QL1|MARK2|PDXK|CTPS1|AGAP2|TRIO|ENPP1|KDR|TREX1|CSNK2A2|CAMKK2|CENPE|CARS1|AASDH|ITM2C|CARS2|IRAK1|CDK13|UBE2D2|TEK|MASTL|SPATA5L1|ATP11B|ACTR3B|CDKL1|ADCY5|FLAD1|STK25|WNK4|STRADB|DDX50|TARS2|PPIP5K2|SHPRH|AARS1|EPHA10|VRK3|TWF1|PDK3|PAK2|CHD7|NME7|AKT1|DALRD3|ABCB10|P2RX5|PEBP1|IRAK4|TP53|MYO9A|BCKDK|MYO1C|EPHB6
GO_AEROBIC_RESPIRATION,0.000028681236734928,0.0015013533562655,-0.587062954444592,-2.35076877215597,0,79,DLD|PANK2|DLAT|PDHB|DHTKD1|SDHC|ACO2|SDHB|IDH1|SUCLA2|OGDH|UQCRC2|COX10|IDH3A|SUCLG1|CS|NNT|UQCRC1|COX5A|MDH2|FH|FAHD1|VCP|ADSL|IREB2|CAT|SDHAF2|MDH1|PDHA1|ACO1|NDUFA4|AFG1L|IDH3B|SDHD|ME2|UQCRH|SDHA|UQCRHL|DLST|IDE
GO_AMIDE_BIOSYNTHETIC_PROCESS,0.0000213702611445912,0.0015013533562655,-0.34550424734867,-1.75099306274286,0,753,TRMT10C|MTOR|MRPL45|DLD|PARS2|CNOT11|GCDH|EIF5|MRPL46|MRPL44|FASTKD3|NOA1|EIF4E2|YTHDF2|IARS2|CNOT1|GSPT2|MRPS16|MRPL35|MRPS18C|DDX1|DLAT|COPS5|PPCS|MARS2|APEH|MRPS11|MRPS17|MRPS23|FASTKD2|MRPS35|MLYCD|PDHB|EIF4G2|ACACA|NARS1|POLR2D|GFM1|MRPL15|TACO1|TRUB2|RNF139|LARP1|AIMP2|LRPPRC|CDC123|MRPS36|PDHX|MRPS30|MRPS18B|TSFM|GCLC|EIF1AD|EIF3A|TPR|EIF4G1|MRPS22|DPH3|MTIF2|DARS2|EIF4EBP2|TUFM|PUM2|MRPS18A|PPP1CA|HACD2|MRPS33|USP16|EIF2S1|ABCF1|MRPL36|ACAT1|MTHFD1|GBA|SPHK2|RPUSD4|GFM2|MRPL49|MAPK1|MRPL58|PTAFR|MRPL19|IREB2|YTHDF3|QRSL1|CNOT7|PDK2|FASN|GSPT1|DHX36|CERS6|HBS1L|MRPL9|CHCHD1|PRKCD|ERAL1|OPLAH|PDHA1|CNOT10|MRPS9|GIGYF2|NSMAF|GLE1|EPRS1|MRPS7|METAP1|MRPS2|EIF4H|MRPL37|NANP|GATB|ACSL3|ACO1|NANOS1|DRG1|MRPS10|PAIP2|CHAC2|MRPL34|YARS2|MTRF1L|MRPS14|ACLY|PRKDC|MRPL27|PDP2|DDX3X|FXR2|DHX9|ROCK2|GCLM|MTFMT|SELENOT|GEMIN5|ORMDL2|PYM1|MRPL39|AGO1|FARSA|DHX33|DNAJC24|B3GALT2|PINK1|DPH2|MRPL30|EIF2AK4|PAIP1|SHMT1|ASL|GUF1|MALSU1|SMPD1|LTN1|PPA2|RCC1L|SGMS2|C1QBP|MRPL47|MRPS27|ACSS2|MRPS12|DHX29|MRPL3|MRPL13|DENR|EFL1|NCL|GART|HACD1|DHFR2|ACSL1|SPTLC1|PDF|NEMF|QARS1|JMJD4|CNDP2|B3GALT4|ZCCHC4|ORMDL3|FARS2|RARS1|RXRA|EIF4G3|SYNCRIP|EIF3J|RPS6KA3|CYFIP1|KBTBD8|EEF2|ETF1|MRPL16|MPC2|GSTZ1|MRPS28|ASNSD1|METTL14|EIF6|EIF3B|MRPL51|MTPN|RPUSD3|SRBD1|SECISBP2L|COA3|MRPS34|EGFR|MRPL50|DHFR|IMPACT|MRPL33|FURIN|RBM8A|MRPL57|SPTLC2|HARS1|MRPL10|SLC25A15|EIF2AK1|MRPL12|MRPL20|TARS1|ASS1|MRPL28|NSUN4|ASAH1|EIF3M|LSM14B|MRPL54|SLC25A1|AURKAIP1|NSUN5|KHSRP|SRP9|NOLC1|ATIC|ARG2|CBR4|LARS2|MCTS1|MRPS24|EEFSEC|CAPRIN1|GGCT|MRPL1|YBX2|EIF2A|NEURL1|GCN1|PA2G4|MRPL14|MTHFS|RMND1|EIF3D|UHMK1|EIF4EBP1|MAPKAPK5|EIF4B|LARP4B|EIF4E|ENC1|ELOVL1|EIF2B1|SCD|PPA1|NCBP2|SARS1|EARS2|ASAH2|MRPL2|BANK1|PDP1|DAP3|RPL26L1|B4GALT5|MRPL4|EEF1E1|CERS2|CTIF|ELOVL6|MRPS5|MRPL11|PPT1|PTK2B|FTO|ORMDL1
GO_AMINO_ACID_ACTIVATION,0.000030229746070133,0.0015013533562655,-0.600448894447199,-2.20149692909971,0,49,PARS2|IARS2|MARS2|NARS1|AIMP2|DARS2|QRSL1|EPRS1|GATB|YARS2|FARSA|PPA2|QARS1|FARS2|RARS1|HARS1|TARS1|LARS2|PPA1|SARS1|EARS2|EEF1E1|AIMP1|LARS1|IARS1|HARS2|CARS1|AASDH|CARS2|TARS2|AARS1|DALRD3|MARS1|KARS1|VARS1|SARS2
GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS,0.0000287389355098287,0.0015013533562655,-0.489896607507147,-1.95728210325213,0,78,CUL3|PSME3|PSMC1|PSMD1|PSMD7|CDC23|PSMD2|PSMD8|PSMB5|PSMA5|PSMC2|PSMD6|PSMB6|PSMD11|PSMD5|ANAPC15|PSMA6|PSMD12|PSMA2|PSMD14|PSMD4|PSMD13|PSME4|PSMA4|PSMB2|PSMD3|PSMA1|ANAPC5|PSMC5|PSMA3|PSMC4|FBXO5|UBE2D1|PSMF1|PSMC3|ANAPC1|PSMD9|ANAPC7
GO_ATP_METABOLIC_PROCESS,0.0000244021473889702,0.0015013533562655,-0.447566866576274,-2.10973519313828,0,271,DLD|NDUFS1|UQCRFS1|NDUFC2|DHTKD1|ATP5F1A|EP300|SDHC|NDUFAF1|CLPX|PPARA|ATP5PB|OGDH|ATP5F1B|PRKAG1|PDE12|UQCRC2|COX10|STOML2|TPR|DMAC2L|ATP5MC3|NUP214|DNAJC30|NMNAT1|NDUFB5|BEND3|UQCRC1|PARG|ATP5F1C|COX5A|ATP6V1A|PARP1|SPHK2|NDUFA9|NUP133|VCP|RAE1|PSEN1|ZBTB7A|SLC25A23|JMJD8|SDHAF2|ATP5PF|ABCD1|NDUFS3|NUP88|NUP37|DNAJC15|PGM1|NUP50|HK1|NDUFA4|ATP6V1B2|PINK1|AFG1L|NDUFB3|PRKAG2|CYC1|NDUFB9|NUDT5|NDUFAB1|SLC25A33|COQ9|GPD1|PGAM1|NDC1|SDHD|UQCRH|NIPSNAP2|NADK|RANBP2|ATPSCKMT|SDHA|NDUFA8|UQCRHL|ATP5PD|NDUFA6|PFKM|NDUFA10|EIF6|SLC25A12|NUP62|NUP93|HSPA8|NCOR1|OLA1|NUP42|NDUFA5|NDUFB6|PARK7|COX15|PPIF|ENTPD5|ATP1B1|COA6|TEFM|AK9|NDUFV2|SEH1L|TIGAR|NDUFV3|UQCR10|FOXK2|COX7A2|PGK1|SURF1|COX8A|HDAC4|CYCS|UQCC3|ATP1A2|COX7A2L|ATP5MG|ATP5PO|COX6B1|NDUFB10|POM121|DNM1L|MSH2|NDUFA12|ATP5MF|CCNB1|NUP153|NDUFB11|NDUFB2|ATP5MC1|ENPP1|TREX1
GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,0.0000286336043981216,0.0015013533562655,-0.570745653323265,-2.3000061630454,0,82,DLD|NDUFS1|UQCRFS1|NDUFC2|SDHC|NDUFAF1|UQCRC2|COX10|NDUFB5|UQCRC1|COX5A|NDUFA9|SDHAF2|NDUFS3|DNAJC15|NDUFA4|PINK1|AFG1L|NDUFB3|CYC1|NDUFB9|NDUFAB1|COQ9|SDHD|UQCRH|SDHA|NDUFA8|UQCRHL|NDUFA6|NDUFA10|NDUFA5|NDUFB6|PARK7|COX15|COA6|NDUFV2|NDUFV3|UQCR10|COX8A|CYCS|UQCC3|COX7A2L|COX6B1|NDUFB10|NDUFA12|CCNB1|NDUFB11|NDUFB2
GO_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,0.0000208912194204776,0.0015013533562655,-0.293785249338146,-1.5056447026291,0,970,LCMT2|DLD|DOLK|GCDH|CLTC|PIGS|PANK2|UMPS|DLAT|PPCS|ALG11|MLYCD|PDHB|DHTKD1|ATP5F1A|EP300|MGAT5|ACACA|PPARA|ATP5PB|RNF139|BPNT1|SUCLA2|SLC35C1|NME6|OGDH|ATP5F1B|PRKAG1|NUDT16|ARFGEF1|PDHX|POMK|GPD1L|STOML2|TPR|DMAC2L|ATP5MC3|NUP214|DNAJC30|MCCC2|NMNAT1|EXTL3|PUDP|DHDDS|OPA1|ALG1|NDST1|HACD2|GNE|HSD17B4|PARG|MAN1A2|ACOT1|ATP5F1C|PARP1|ACAT1|AMFR|GBA|SPHK2|UPRT|B3GALT6|ACOT13|NUP133|PIGW|PIGV|CHP1|VCP|ADSL|RAE1|CANT1|PIGM|XYLT1|PSEN1|NFE2L1|PANK1|CASK|GPAM|RAB1B|PDK2|FASN|ZBTB7A|MPDU1|CTNNB1|GMPR2|GORASP1|JMJD8|SMUG1|SEL1L|TALDO1|UGP2|PRKCD|ATP5PF|UGGT1|AHCY|PDHA1|ABCD1|GPAA1|LARGE1|PIGP|NUDT15|NT5C2|ACOT8|NANP|ACSL3|GLB1|NUP88|NUP37|CHPF2|NCSTN|ACOT2|DGAT2|GALNT2|ALG14|PGM1|ACLY|GSK3A|PDP2|NUP50|MFN1|MGAT2|RRM1|HK1|AKR1C1|TRIP11|SLC35D1|MPPE1|ALG12|NAGPA|OS9|PMM1|B3GALT2|PIGC|FUT4|C1GALT1C1|PINK1|FUCA1|COASY|PRKAG2|CYC1|HMGCR|MGAT3|STS|TPST2|SHMT1|SMPD1|FAR2|OXSM|ACSS2|UBE2J1|FAM20B|GNPNAT1|NUDT7|CMAS|MAGI3|EFL1|PANK3|NUDT5|TKT|GART|SULT1B1|HACD1|GPD1|PGAM1|DCTPP1|DHFR2|ACSL1|UNG|ST3GAL2|NDC1|ADCY9|TMEM59|POFUT1|B3GALT4|PMM2|DLG1|RANBP2|ATPSCKMT|RPN1|GLYCTK|ST6GALNAC1|B4GAT1|DCXR|GANAB|PIGO|MGAT4B|GALNT1|CERK|NFKB1|RAN|TRIM13|RFT1|PGAP4|PGD|MPC2|ATP5PD|GSTZ1|PFKM|MARCHF6|GNS|DLST|PRPS2|ALG10|EIF6|ADSS2|HS6ST3|CRPPA|MCFD2|SLC25A12|NUP62|TKFC|RNF103|NUP93|AKR1C2|NGLY1|SDF2|GALNT7|CHST2|NCOR1|B3GALNT2|AMD1|SLC35B2|NUP42|RNF185|ALG3|PARK7|PIGN|HINT1|CTSA|ABHD6|ACOT11|TET3|CPTP|SAMHD1|ENTPD5|ASAH1|GNPTAB|SLC25A1|MAN2B1|DERA|RNF5|B3GNT2|ACOT7|NAGLU|AP2A1|AK9|MPI|SEH1L|ATIC|TIGAR|GNAI3|CBR4|MAN2A1|HS6ST1|DOLPP1|ADCY6|FOXK2|PIGT|RXYLT1|PGK1|HMGCL|PIGB|OARD1|GLCE|GALNT4|ADCY3|PAPSS1|PIGX|AKR1C3|NUS1|HDAC4|CROT|ELOVL1|SCD|HMGCS1|UCK1|RPN2|UQCC3|NAGA|HS2ST1|MANBA|ARSB|PDP1|HPSE|ST6GAL1|TRAK2|AMDHD2|DBI|B4GALT5|SUMF1|SLC2A4|MACROD2|ATP5MG|ATP5PO|G6PD|ELOVL6|DCK|PAICS
GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA,0.0000273127031382296,0.0015013533562655,-0.479817165964356,-2.05277218655788,0,122,TRMT10C|LCMT2|TRMT12|PARS2|IARS2|POP4|MARS2|TRMT61B|BCDIN3D|NARS1|LRRC47|METTL2A|DARS2|PRORP|TRMT5|THUMPD3|METTL2B|MRPL58|POP1|RPP38|TRMT1L|QRSL1|TRMO|TRMT6|EPRS1|PTRH2|GATB|TRMT10A|YARS2|QTRT2|RPP14|MTFMT|TRMT2B|FARSA|DTD2|PUS3|ELAC2|QARS1|FARS2|RARS1|POP7|RPP25|RPP40|ALKBH8|TSEN2|HARS1
