"","Estimate","Std. Error","t value","Pr(>|t|)","PAdj"
"RERE",0.00159429354164639,0.000908022716780409,1.75578596458391,0.0792929770552502,0.321346067112388
"RNF165",0.00314600146901834,0.00136071270063094,2.31202477022489,0.0208873361081396,0.165667857809141
"CD049690",0.000469673874237121,0.000247753283285956,1.89573218973258,0.0581535756950708,0.278401379066611
"BC033982",0.000401304565110918,0.000245674487065139,1.63348083028465,0.102540682142478,0.365909222661871
"PHF7",2.65212548612353e-05,0.000592933348325934,0.0447288973307276,0.964328301442779,0.986762074811356
"CIDEA",0.0016740679839558,0.00204023712365467,0.820526185190206,0.41202354272129,0.702425902316084
"PAPD4",-0.000298554634220446,0.000804397397704857,-0.371153157720668,0.7105666105499,0.885048413712941
"AI082173",0.000555558427400189,0.000240067623226034,2.31417473099697,0.0207688831280445,0.16506723550691
"SLC17A3",0.000497691920783798,0.000257814130699529,1.93042917947673,0.0537087050373472,0.266251321888824
"SDS",-0.00197678531873179,0.000980614700459068,-2.01586343525787,0.0439607996477428,0.240619219635264
"ATP6V1C2",0.000740797843043585,0.00096341530450888,0.768928871667885,0.442035196424422,0.727166250352415
"F3",-0.000623703725338042,0.000881901664923191,-0.707225930220194,0.479516529750718,0.753369151616614
"FAM71C",-0.000104153072522842,0.00020835326262826,-0.499886928618299,0.617215060318683,0.835551257721645
"AK055082",5.646496995328e-05,0.000269331705313469,0.20964843291495,0.833965514019326,0.938880648908429
"BU687559",0.000334653290287721,0.000248087069229698,1.34893483697803,0.177525517757123,0.475587270965872
"LIN52",0.000915518121725281,0.00063003696293139,1.45311811146068,0.146363165634929,0.43309989316235
"PCOTH",-0.000254421170234458,0.000709956723321282,-0.358361519620855,0.720114299858633,0.889394083069192
"GRM1",4.62312442791181e-05,0.000269927648960493,0.171272726069958,0.864028343502516,0.951622267772624
"FXN",0.000332032183085357,0.000416421053787123,0.797347252416044,0.425353279681834,0.713155959769296
"SLC9A1",0.00127063547957839,0.00104964690074955,1.21053611330728,0.226230251291124,0.537082979052926
"PML",0.00189862073991389,0.00109544690683787,1.73319284400051,0.0832305855988406,0.329555111956272
"CR749394",-0.000501680548358916,0.00025952124535693,-1.93310011158792,0.0533786422634221,0.26558170972221
"CD164",-0.00348689019245295,0.000998070392237419,-3.49363153097472,0.000487880841481071,0.024213198259085
"DB337918",4.95022345821636e-05,0.000221742856134218,0.223241620700514,0.823372485654459,0.934723028142623
"MOBKL2A",0.00097221884749998,0.000632817832095485,1.53633288790333,0.124630384805768,0.401718679490337
"HGC6.1.1",-0.000532448210574391,0.000611685988037044,-0.870460041569802,0.384163714109614,0.681959611271586
"OR1J2",-7.89757359895091e-06,0.000241643630918497,-0.0326827302210777,0.973931175564585,0.990308987530056
"GNG5",-0.00160772455401758,0.000927685711372187,-1.733048740871,0.0832562001298823,0.329555111956272
"TAF15",0.00383030924650991,0.000997695911065613,3.83915500106526,0.0001276757662844,0.0126121141742569
"EXTL3",0.00127035649058568,0.000888863092701638,1.42919252809172,0.153120327241004,0.442954399706043
"CNPY3",-7.4933818725621e-05,0.00082812418973147,-0.0904862092603758,0.927910798391204,0.974447378022036
"C19orf24",0.000780493681989261,0.000644073086959098,1.21180918406986,0.225742560408817,0.536463303300376
"GAS2L2",-0.00164069225179437,0.00031615430120922,-5.18953006655006,2.34348702652367e-07,0.00128658278039889
"AA913006",0.000164949830500313,0.000225941230281052,0.730056352685733,0.465449591329246,0.743889003837547
"C21orf33",0.00021463101161118,0.000819850022387887,0.261793017930338,0.793510613646755,0.92342555997388
"DA442494",-0.000125208117730016,0.000228885012734345,-0.54703502092266,0.584421663822067,0.816816008260174
"P2RX1",0.000344468638342014,0.000479263350590195,0.718746046234942,0.472389568837946,0.748662656566594
"CD515666",0.000243410488828087,0.000230456790433631,1.0562087945861,0.291012858240889,0.602805281334068
"LRR1",-0.000962103895454117,0.000907169748627987,-1.06055553209222,0.289032504495754,0.600884466602443
"ATP1B2",0.00205592537799262,0.000543099700413734,3.78553951774677,0.000158340849065752,0.0140182225526107
"BM668203",7.21403388201205e-05,0.000241414045040232,0.298824116915395,0.765108326349193,0.911087364443033
"UBLCP1",-0.00204985777549506,0.000849581419515496,-2.41278555346004,0.0159293218858618,0.143711853281999
"BG236224",-0.000503261839846612,0.000236471601147369,-2.12821259468269,0.0334533330456713,0.209884351096014
"ADAMTSL4",-0.000551678644178396,0.000598235759309321,-0.922175974260254,0.356558886659383,0.660427416613041
"BX109195",6.99472023625035e-05,0.000273443436201957,0.2558013581677,0.798133100063328,0.924861257422758
"IL28B",-7.77614873263759e-05,0.000266980496350136,-0.291262801550846,0.770883488043894,0.9137292183002
"DES",0.000382390212968454,0.000374274573704024,1.02168365108031,0.307066285142407,0.618095538353284
"HERC2P9",0.000350532168099354,0.00029378327435559,1.19316584263771,0.232959773929868,0.54517839599909
"BC033582",-0.000219057724608439,0.000226784794123925,-0.965927744206414,0.334208527600545,0.640538822361097
"PRR16",0.000746435916922748,0.00066425272613538,1.12372277531401,0.261278685269749,0.574292306990047
"HIPK2",0.00348395492228847,0.00127570347381402,2.73100684743952,0.00637497529614226,0.0913796458919969
"SHMT2",0.000682547466025495,0.000973187334206451,0.701352598862225,0.483172562731895,0.756136726129523
"MRPS5",0.000307729857312257,0.000587991228520954,0.523357904651617,0.600788855533262,0.826580635855771
"SNORD36C",-0.000702569322680747,0.000620755564869871,-1.13179705900506,0.257868699676936,0.571023202801705
"CHRNA6",0.000208661522428457,0.000347362854658797,0.6007018874641,0.548113275668611,0.795672246045924
"TBC1D22A",0.000271505867052339,0.000380395734994602,0.713745823296867,0.475475781460898,0.750444363688696
"RPL35",-0.000609013230867582,0.000937354975390142,-0.649714619175197,0.515958479405451,0.777014784386133
"AI251715",0.000111145993305653,0.000237409071548855,0.46816236877781,0.63972447784295,0.84843260847475
"ST6GALNAC4",-0.000885068045926949,0.00108438445029677,-0.816193966710538,0.414495900119849,0.704550508797466
"TM2D1",-0.0037403873811473,0.0011146950455991,-3.35552525860292,0.000808410314420167,0.030700939076279
"RASD2",-0.000261170474280197,0.0017240097682439,-0.151490136013689,0.87960586226525,0.95761227948352
"BM987095",0.000117461712120592,0.000223532841361988,0.525478544472016,0.599314506115659,0.826070246338954
"CD364315",-9.83950486704171e-06,0.000238591000816372,-0.0412400502675058,0.967109043772644,0.98825686482608
"UBE2DNL",-9.66062637526755e-05,0.0002265779133234,-0.426371054158254,0.669887857483929,0.86511353602037
"TFAP2D",-9.2604988341042e-05,0.000247498221389737,-0.374164257912853,0.708325651513839,0.883902952908105
"ITGA10",0.00238168871728364,0.00100464852617083,2.37066860224375,0.017859482116349,0.152775706143561
"LYRM5",-0.0010232447666502,0.000885015485775466,-1.15618854482937,0.247755622433224,0.56007100315368
"LPPR1",4.83401214139541e-05,0.000426329655380561,0.113386720355645,0.909736459089563,0.968939462753797
"MARS2",-0.000809457350880833,0.000602681267210416,-1.34309359676551,0.179408942414671,0.477796405329039
"MAGEC1",-0.000109331400080016,0.000484925652876703,-0.225460128643296,0.82164662476833,0.934074110398154
"PDIA6",-0.00126791508023562,0.00108601916105949,-1.16748868316344,0.243165836497114,0.555259696634814
"FLJ41130",-0.000521081096787814,0.000250998815903694,-2.07603009963102,0.0380311029097189,0.223634632167961
"SLC25A25",0.000847752152134047,0.000871162632658847,0.973127313262565,0.330619203285097,0.638223762644968
"BX109285",-2.76928262768721e-05,0.00023505921387199,-0.117812128359934,0.906229505096654,0.967536177875921
"AI979035",-0.000122913279439349,0.000239612042599336,-0.512967871338908,0.608035981579021,0.830295365599192
"FGFBP2",0.000298488323387393,0.000886597337240512,0.336667290606153,0.736406495540177,0.897821257983842
"LRRC23",0.000218946992746319,0.000749961119535299,0.291944458243363,0.770362327111895,0.913513242389365
"PNCK",-0.00151335468950097,0.00182619217968763,-0.828694102588825,0.407386065895722,0.699048211657415
"CA429570",-0.000699566729613129,0.000244029050219399,-2.86673545212822,0.0041949433931448,0.0730787792954677
"RPS24",-0.00298537053286835,0.00132103193738372,-2.25987763685775,0.0239464910116875,0.178680725333207
"C14orf102",0.00331967447582039,0.00096867046859077,3.42704209889859,0.000623754071782304,0.02699758298613
"AA885282",0.000194627274617129,0.000238036984949772,0.817634598498203,0.413672771918127,0.703740443039717
"GLT8D2",-0.00152503381407274,0.0016222343937758,-0.940082283992988,0.347299967380122,0.652154242515127
"AW516315",1.08941754586968e-06,0.000235428139572292,0.00462738884081087,0.996308397637012,0.999178015768571
"IGM1",0.000386739529809085,0.000311313316623728,1.24228392798411,0.214291692140095,0.52338979192842
"EFCAB4A",0.00292307282385433,0.00193002715695279,1.51452419377839,0.130066390125138,0.409621376881537
"REEP3",-0.000573783152494756,0.000536156548948041,-1.07017839028646,0.284680766856418,0.597768283219061
"ECI2",-0.0038095971997739,0.00143588318732975,-2.65313866294267,0.00804398681408148,0.103419119260343
"BTBD3",6.5423772433744e-05,0.000829221068725562,0.0788978656008999,0.937122524793191,0.977764725895999
"AI808614",0.000142487181295211,0.000240626400209192,0.592151073910999,0.55382290086579,0.799118732332714
"RBM17",5.00300305457618e-05,0.00081171565951356,0.0616349209965266,0.950860326922005,0.983078538635358
"LOC339524",5.57275508817829e-05,0.000244420854255876,0.227998347569163,0.819673108247244,0.933503203541683
"TRNAU1AP",-6.80252574870573e-05,0.000362677192133922,-0.18756420023771,0.851239176850987,0.945587309260675
"IL21R",-7.41682639027385e-05,0.000954931680885656,-0.0776686598500436,0.938100152637659,0.97807737974818
"AK094525",0.000418655375311376,0.000332126877913484,1.26052844003921,0.207640197107592,0.515661582258907
"RASSF4",-0.00108419169785128,0.000993342204480266,-1.09145840472825,0.275215533298014,0.587872731013851
"BM676998",0.000254402928493894,0.000234021518907471,1.08709203188482,0.277139928176311,0.589343809997614
"PLXNB2",0.00219325067176759,0.000924204298068488,2.37312321134115,0.0177416049969392,0.152247775731562
"OR8H2",1.25828577386189e-05,0.000256258447748848,0.0491022163333751,0.960843218932285,0.985684423093973
"ANTXR2",-0.000483996097723596,0.00109297458260628,-0.442824659809994,0.657945132038278,0.857991772284703
"GALK2",0.000281630434169066,0.000844963336174646,0.33330491645244,0.738942478771451,0.899068819787433
"BX100078",3.35307682293995e-05,0.000255799637209504,0.13108215709445,0.895724787416174,0.963499403715307
"FAM90A13",0.000361248731873358,0.00024650352169396,1.46549115968354,0.142959503579212,0.42863621456838
"C17orf37",0.000894558111033736,0.00129073344680636,0.693061850413132,0.488359068944671,0.759477905615736
"TMEM59",-0.00105168322918338,0.000958091573495227,-1.09768550134171,0.272486885260478,0.585277996406379
"BCAN",-0.00034644676758494,0.000340855202178598,-1.01640451831336,0.309571741532785,0.620365476782146
"TXNDC11",0.000533216242620971,0.000687368581154535,0.775735547477828,0.438005821941854,0.724495565514392
"DOCK2",-0.000881435545159319,0.00142796665546998,-0.617266195805684,0.537136290184745,0.788917914485075
"ARFIP1",-0.00232916253918783,0.000809241313917897,-2.87820517703344,0.00404607116367274,0.0717708740639779
"LARGE",-0.000124942429800513,0.0013105862275824,-0.095333238798786,0.924060625521617,0.97373013287398
"BE265648",-2.58111181423888e-05,0.00025253478546432,-0.102208169440624,0.918602690324206,0.972225085033888
"PDXDC2P",0.00160672292206102,0.0013452898970998,1.19433211051746,0.232503540394633,0.544879828145593
"RBMY1F",0.000447161420748619,0.000270246753982607,1.65464122754051,0.0981695305684036,0.356884559767598
"SLITRK3",9.94259301517587e-05,0.00028536355007251,0.348418465240199,0.727566190006412,0.89360744675439
"ACMSD",0.000267924664531766,0.00105012121224865,0.255136894109636,0.798646165115115,0.925103852808153
"KRT8",0.00117717584595927,0.00180760154420437,0.651236357776745,0.514976049068652,0.776588628481313
"HIST2H2BF",0.0007343055615516,0.00052688408515784,1.39367572913428,0.163585511961334,0.457874616958879
"AW299747",-0.000482989936704751,0.000244502958332084,-1.97539506270003,0.0483740370704863,0.253539722560125
"ADAMTS6",-0.000507010469606805,0.000436446976034262,-1.16167712791531,0.245518795537373,0.557889034842849
"CREB3L2",0.00291883260851995,0.00115084671451332,2.53624793963485,0.0112876233857903,0.121170399411867
"PANX3",2.08289158412809e-05,0.000233340288531088,0.0892641213928463,0.928881817779265,0.974729508576096
"STATH",0.000372438012315087,0.000265458256804912,1.40300029389855,0.160787132390579,0.453680266117721
"C6orf155",-0.000622775564012872,0.000544978619275199,-1.14275228786248,0.253291590809084,0.566161388138382
"HERC2P7",-0.000135289394620622,0.000304150850302186,-0.444810180494997,0.656509770423515,0.857103138798832
"CD52",-0.00487864886334728,0.00244451989744303,-1.99574929557757,0.0461098597682109,0.2471090967301
"SLC6A17",0.00123322756315349,0.000610854648953258,2.01885598360708,0.0436484145489036,0.239676105741079
"ARPC5",-0.00290669087669091,0.00100927383220078,-2.87998240314298,0.00402343789846716,0.0717213860350019
"GABRA2",0.000160287236126974,0.000340709141947983,0.470451820607283,0.638088557868824,0.847437524160901
"BM665543",0.000354919444995431,0.000242162899389183,1.46562271054178,0.142923645108251,0.42863621456838
"YIPF1",-0.00129201736006938,0.000844547693773794,-1.52983350685158,0.126231533755506,0.403728837715469
"ZNF385A",0.00111840161355607,0.00103640409889688,1.07911731992035,0.280678263897587,0.592940436467829
"F11",0.000560010983444044,0.000238190425574272,2.35110618780696,0.0188237234822791,0.156712160511164
"BM313460",0.000241809706681431,0.000235781112820719,1.02556860381474,0.305231109515954,0.616176926243457
"DHX35",0.00101349848605928,0.000470771918077625,2.15284397208283,0.0314618649445053,0.204072039585737
"FUBP1",8.80279864226776e-05,0.00050319363552453,0.17493859263724,0.86114732246325,0.950004196747799
