pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
GO_ACTIN_BASED_CELL_PROJECTION,2.30478473310593e-05,0.00043594053638658,0.471599967857983,1.75401316518637,0,153,FZD9|FOXA1|IGF2BP1|MYO10|FSCN1|TRPV4|CTSV|AKR1B1|MYO3A|FAT1|ACTN2|OXTR|USH1C|LHFPL5|CIB2|ANTXR1|UNC5C|KITLG|ESPN|CALB1|TUBB3|JAM3|PLEKHG6|PDPN|ADGRA2|GAP43|SLC6A6|GPM6A|PDGFRA|ACTC1|EPHA4|WHRN|EPHB1|ITGA3|RDX|ACTA1|FARP1|MYO5A|OSBPL3|ARL4C|B4GALT1|SLC26A2|APBB1|AQP5|TGFB1|NLGN1|CLIC4|MSN|CXADR|FZD3
GO_ACTIN_FILAMENT_BASED_PROCESS,2.02860330662339e-05,0.00043594053638658,0.412597278787913,1.66518057413659,0,581,CELSR1|SFRP1|SLIT2|GJC1|TMEFF2|MARCKS|FSCN1|CXCL1|TRPV4|FRMD5|HCK|S1PR1|VIM|KANK4|EPB41L4B|FZD10|NUP155|FAT1|GHSR|PKP2|ACTN2|PPM1E|SVIL|USH1C|GAS7|KIT|WASF3|PDLIM3|EPHA5|EPB41L3|FHOD1|JUP|NOX4|LPAR1|CACNA2D1|ADD2|PHACTR3|HCN4|ANTXR1|TF|BRSK2|FGF10|TAC1|INA|FLNB|ESPN|KIRREL1|PDE4B|CACNB2|RALA|CACNA1G|RGCC|GRHL3|CNN3|JAM3|DSP|PRKG1|ALOX15|PDGFRB|KANK3|KANK1|FHOD3|PEAK3|PSTPIP2|PAWR|MEF2C|EPHA3|PDPN|ELMO1|NPHP1|CCN2|DPYSL3|SDC4|CTNNA2|DNAJB6|PTK7|TMSB15A|SCN3B|COTL1|PDGFRA|TRIP10|ACTC1|SNTA1|GPM6B|ABLIM3|DAAM2|FRMPD4|SIX4|CAV1|SYNPO2|TACSTD2|LMOD1|SCN1B|CORO1A|PFN2|CAPZB|FGF12|FAM171A1|RND2|RDX|ACTA1|PLEK2|NTRK3|EFNA5|WNT11|DES|VILL|KCNJ2|MYO5A|CDK5R1|CDC42BPB|KCNN2|PROX1|RHOBTB1|F2RL1|PACSIN1|TNNI3|KRT19|CCDC88A|INSRR|GPD1L|PDLIM1|ITGB5|SEMA5A|PTGER4|PFN4|EDN1|PDLIM7|MYH10|SCN4B|IQGAP1|DBN1|KCNJ8|NCKAP1|TNNT1|CACNA1D|PFN1|ADRA2A|EFS|CIT|RYR2|PLS3|ARHGDIA|KCNA5|PAM|PAK1|TPM2|NOS1AP|BCL2|SEMA3E|ARHGAP12|CDC42EP3|CAMK2D|CXADR|EMP2|DIAPH2|TPM4|IQGAP3|NKX2-5|ACTN1|TMSB4X|PLEKHG2|CXCL12|PDLIM4|FES|DOCK2|ARHGEF2|ARF6|GAS2L3|ARPC1B|SH3KBP1|STARD13|ACTN3|MYO6|CLDN3|KCNH2|LIMCH1|SMTN|CFL1|TPM1|OPHN1|SYDE1|NRP1|STMN1|PARVA|AMOTL2|BAIAP2|EPS8|RHOQ|PPM1F|ABL1|KCNJ3|SHROOM2|ANK2|GAB1|MYADM|RGS4|AUTS2|CAP2|SRF|SPTAN1|ARHGAP26
GO_ACTION_POTENTIAL,2.43196575792213e-05,0.00043594053638658,0.561487383486193,2.00555581970816,0,106,GLRA1|GJC1|HCN2|MTNR1B|DRD1|NUP155|PKP2|GNA11|CHRNB2|JUP|CACNA2D1|HCN4|CACNA1H|TAC1|KCNMB4|CACNB2|CACNA1G|ADRA1A|GPR88|KCNB1|FKBP1B|DSP|KCNA1|GNA14|NRCAM|GJD2|SCN3B|SLC8A2|SNTA1|CAV1|GRIK2|SCN1B|FGF12|KCNIP2|CHRNB4|KCNA2|NTRK3|KCNJ2|KCNN2|GPD1L|CHRNA4|SCN4B|KCNJ8|NTRK2|CACNA1D|NTSR1|RYR2|KCNA5|NOS1AP|CAMK2D|CXADR
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY,2.15903447978064e-05,0.00043594053638658,0.444520026461464,1.72578130646233,0,257,SPDYA|LEP|ADRA2C|CARTPT|NRG1|ADCY5|CHRNA3|PROK2|FGF2|CALCA|TP73|UCN|PAK5|DRD2|KIT|SYK|LPAR1|NGF|TF|GRM1|FGF10|INAVA|MAP3K21|RGCC|PDGFC|EPO|WNT7B|EGFR|MT3|ITGA1|MOS|ADCY1|TRAF6|ADCY2|PRKACB|ERCC6|TGFBR2|UBB|F2R|DAB2IP|ADORA2B|THBS1|TGFA|IL12B|RET|NTRK3|EFNA5|WNT11|ALK|MAP2K2|ADRA2B|WNT5A|CDK5R1|PRKAR1B|PRNP|PRLR|CCDC88A|PRKCZ|DUSP9|BMP2|MAP3K20|OSBPL8|STK39|ADRA2A|MAP2K6|GPRC5B|TGFB2|GPRC5C|PRDX2|PAK1|PRKAA1|MAP3K13|BMP4|EMP2|IQGAP3|KSR1|STRADB|ADCY3|MAP3K9|GPRC5A|PSEN1|MUL1|ADRB2
GO_ADAPTIVE_THERMOGENESIS,2.37970586835467e-05,0.00043594053638658,0.523446696218373,1.90100591541617,0,122,BMP8A|PTH2R|NPR3|ACADL|ADCYAP1|LEP|TRPV4|IRF4|GRB10|ADRB3|CIDEA|ADAMTS5|OXTR|ADRB1|IL4R|HOXC10|SYK|PDGFC|APC|UCP1|PRDM16|ARNTL|PM20D1|FOXC2|CAV1|NOVA2|IL15|PRLR|NOVA1|IGF1R|EPAS1|HNRNPU|PHOX2B|MAP2K6
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,2.4240073689824e-05,0.00043594053638658,0.577869012260237,2.06827334343891,0,108,GPR78|GPR6|OPRM1|ADCYAP1|ADRA2C|S1PR1|ADCY5|DRD5|DRD1|SSTR4|PTGER2|ADRB3|ADRA1D|CALCA|GALR1|GNAL|ADRB1|DRD2|PTGFR|LPAR1|CALCR|CALCB|NOS1|GLP1R|ADGRL2|ADRA1A|LHCGR|GPR26|ADRA1B|S1PR5|PRKCA|ADCY1|GPR101|ADCY2|MRAP2|RAMP2|ADORA2B|GPR12|ADRA2B|ADGRB3|APLP1|PTGER4|CALCRL|ADRA2A|ADGRD1|LGR5
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,2.60416666666667e-05,0.00043594053638658,0.638909523484063,2.14629970634135,0,67,NPR3|OPRM1|GPR176|GPR37|HTR5A|GRM6|S1PR1|ADCY5|OPRK1|HRH3|AKAP12|GNAL|DRD2|MTNR1A|HTR1B|P2RY1|LPAR1|SSTR2|NPY2R|CHRM2|RGS2|HTR1E|GRM7|HTR4|GNAI1|ADCY1|ADCY2|GRIK3|GRM3|GNAZ|AKAP5|EDN1
GO_ADULT_BEHAVIOR,2.42054559097621e-05,0.00043594053638658,0.605573595071093,2.16986103207004,0,109,NPY|GLRA1|OPRM1|LEP|CARTPT|UCHL1|HOXD9|DAB1|DMRT3|DRD1|PAX5|HOXD10|CHRNA3|GHSR|GLRB|DRD2|OXR1|GDNF|ZIC1|FOXA2|CHRNB2|KCNJ10|GRIN1|EN1|PRLHR|PREX2|SLITRK1|SLC1A2|SLITRK5|EFNB3|NRXN2|EPHA4|GABRG2|FGF12|CHRNB4|ALK|CNTN2|CHRNA4|SEZ6L|PPT1|HOXB8|NTSR1|ADAM22|NLGN4X|SEPTIN5|CHL1|HOMER1|CXCL12|ABHD12
GO_ADULT_LOCOMOTORY_BEHAVIOR,2.61691047549263e-05,0.00043594053638658,0.652536528327021,2.17747664957034,0,64,GLRA1|UCHL1|HOXD9|DAB1|DMRT3|DRD1|HOXD10|GLRB|DRD2|OXR1|GDNF|ZIC1|FOXA2|KCNJ10|GRIN1|EN1|PREX2|EFNB3|EPHA4|FGF12|CNTN2|SEZ6L|PPT1|HOXB8|NTSR1|ADAM22|CHL1|CXCL12|ABHD12
GO_AGING,2.16811569065325e-05,0.00043594053638658,0.447636307041055,1.73305618141016,0,247,ATP8A2|DKK1|PENK|TWIST1|LEP|PITX3|CTSV|TBX2|VASH1|COMP|FOXG1|TFCP2L1|PAX5|NPY5R|CALCA|SLC32A1|HMGA2|PDX1|MME|PTGS2|TERT|P2RY1|NOX4|TACR3|CACYBP|NPY2R|TRPC6|ALOX12|LOXL2|WRN|PAX2|EPO|ADRA1A|KL|PDGFRB|SLC1A2|CLDN1|CDKN2A|PAWR|GCLC|ARNTL|CCN2|CYP1A1|TIMP2|TGFBR2|PLA2R1|IL15|PLK2|TBX3|WNT1|AURKB|IGFBP2|CDKN2B|PRNP|GJB2
