"","pathway","pval","padj","ES","NES","nMoreExtreme","size"
"1","GO_AMEBOIDAL_TYPE_CELL_MIGRATION",0.0000293832456733171,0.00109177519868361,-0.347123910241084,-1.79455779992525,0,337
"2","GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",0.0000258291145779523,0.00109177519868361,-0.338903588140182,-1.88967036498368,0,862
"3","GO_ANIMAL_ORGAN_MORPHOGENESIS",0.0000260817401737044,0.00109177519868361,-0.335192955365041,-1.8602759155578,0,802
"4","GO_BIOLOGICAL_ADHESION",0.000024823135161971,0.00109177519868361,-0.318630075441554,-1.80633880800037,0,1144
"5","GO_BLOOD_VESSEL_MORPHOGENESIS",0.0000278854465854271,0.00109177519868361,-0.320532805268696,-1.71807267622127,0,497
"6","GO_CAMERA_TYPE_EYE_DEVELOPMENT",0.0000307446350611818,0.00109177519868361,-0.412611575303266,-2.0426662811413,0,227
"7","GO_CARDIOVASCULAR_SYSTEM_DEVELOPMENT",0.000027175389966846,0.00109177519868361,-0.333288009919677,-1.81266850115495,0,603
"8","GO_CELL_CELL_ADHESION",0.0000268658320348181,0.00109177519868361,-0.281078009551928,-1.53851553473142,0,655
"9","GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES",0.0000314307266784008,0.00109177519868361,-0.390424744623195,-1.88496613407443,0,185
"10","GO_CELL_MOTILITY",0.0000245218244237371,0.00109177519868361,-0.259478500937953,-1.47769169148908,0,1252
"11","GO_CELL_SUBSTRATE_ADHESION",0.000029693856341123,0.00109177519868361,-0.364330048320347,-1.86335140120306,0,303
"12","GO_CIRCULATORY_SYSTEM_DEVELOPMENT",0.0000257672189440594,0.00109177519868361,-0.350100319438923,-1.95429163925725,0,877
"13","GO_CONNECTIVE_TISSUE_DEVELOPMENT",0.0000309252845126175,0.00109177519868361,-0.364244573774195,-1.79297186982477,0,216
"14","GO_EMBRYONIC_MORPHOGENESIS",0.0000282709487730408,0.00109177519868361,-0.350618636824515,-1.86560435204576,0,457
"15","GO_EPITHELIAL_CELL_PROLIFERATION",0.0000295919273222265,0.00109177519868361,-0.357679295370293,-1.83306032911208,0,309
"16","GO_EPITHELIAL_TUBE_MORPHOGENESIS",0.0000301449974376752,0.00109177519868361,-0.375428751860898,-1.89279165535757,0,264
"17","GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",0.0000324149108589951,0.00109177519868361,-0.447305530786809,-2.06213561656437,0,133
"18","GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION",0.000029271434007552,0.00109177519868361,-0.371748226001574,-1.92674481305467,0,345
"19","GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES",0.000032737510639691,0.00109177519868361,-0.43878644493584,-1.9803734994064,0,115
"20","GO_LOCOMOTION",0.0000241050982282753,0.00109177519868361,-0.270588732466327,-1.55052830670048,0,1425
"21","GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS",0.0000264557263419667,0.00109177519868361,-0.356857614550108,-1.96744523826718,0,726
"22","GO_NEGATIVE_REGULATION_OF_LOCOMOTION",0.0000300381484485296,0.00109177519868361,-0.338739048795945,-1.71463028182895,0,275
"23","GO_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS",0.0000255108548687467,0.00109177519868361,-0.273472951898278,-1.53236512665784,0,930
"24","GO_OSSIFICATION",0.0000294820012382441,0.00109177519868361,-0.358573822744741,-1.8447145795783,0,319
"25","GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION",0.0000261465251268106,0.00109177519868361,-0.307126719735351,-1.70221744529296,0,785
"26","GO_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION",0.0000264186832928247,0.00109177519868361,-0.292907061397455,-1.61473688603932,0,723
"27","GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS",0.000024997500249975,0.00109177519868361,-0.306155215482395,-1.73037057373776,0,1083
"28","GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS",0.0000242271537939723,0.00109177519868361,-0.25519454436935,-1.45948370037171,0,1366
"29","GO_PROXIMAL_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING",0.000028589399050832,0.00109177519868361,-0.350346248154627,-1.84855071488023,0,416
"30","GO_REGULATION_OF_CELL_POPULATION_PROLIFERATION",0.000024440914090187,0.00109177519868361,-0.282644734275157,-1.61148648603051,0,1288
"31","GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT",0.0000259376458992582,0.00109177519868361,-0.30394130006324,-1.69075326918463,0,829
"32","GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",0.0000308775396776385,0.00109177519868361,-0.409102604503456,-2.01912781693676,0,221
"33","GO_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",0.0000314001318805539,0.00109177519868361,-0.43762013161566,-2.10797694626056,0,181
"34","GO_RESPONSE_TO_BMP",0.0000328213207299462,0.00109177519868361,-0.441344913418657,-1.999788193182,0,119
"35","GO_RESPONSE_TO_GROWTH_FACTOR",0.0000273777583091496,0.00109177519868361,-0.386259034734478,-2.09363661925949,0,576
"36","GO_SENSORY_ORGAN_DEVELOPMENT",0.0000288334006112681,0.00109177519868361,-0.34928647808363,-1.83230180121779,0,392
"37","GO_SENSORY_SYSTEM_DEVELOPMENT",0.0000300941948298173,0.00109177519868361,-0.394744849346091,-1.99403743542631,0,269
"38","GO_SKELETAL_SYSTEM_DEVELOPMENT",0.0000286311449594869,0.00109177519868361,-0.324542216392031,-1.71102779736372,0,413
"39","GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION",0.0000347668880158537,0.00109177519868361,-0.534422794501695,-2.08193642334175,0,52
"40","GO_TUBE_DEVELOPMENT",0.0000258344528262891,0.00109177519868361,-0.319161394027395,-1.77821053375021,0,847
"41","GO_TUBE_MORPHOGENESIS",0.0000266021122077093,0.00109177519868361,-0.33200416437246,-1.8255131581133,0,697
"42","GO_EXTRACELLULAR_MATRIX",0.0000577750816073028,0.0013067319941,-0.308385698094355,-1.61647455375539,1,389
"43","GO_APPENDAGE_DEVELOPMENT",0.0000643873543236108,0.0013661297567265,-0.376339342909342,-1.74907910946984,1,140
"44","GO_BONE_DEVELOPMENT",0.0000629564341475699,0.0013661297567265,-0.370650409338347,-1.78099934683481,1,178
"45","GO_CHONDROCYTE_DIFFERENTIATION",0.0000664915721932245,0.0013661297567265,-0.437127522060518,-1.92837227573865,1,101
"46","GO_SEGMENTATION",0.0000677920141007389,0.0013661297567265,-0.462487012989039,-1.93544975334779,1,75
"47","GO_SPROUTING_ANGIOGENESIS",0.0000662558802093686,0.0013661297567265,-0.427950861060661,-1.90112127449979,1,105
"48","GO_REGULATION_OF_CELL_ADHESION",0.0000819425855617164,0.00151426863207476,-0.275818891732039,-1.49641572993848,2,583
"49","GO_PATTERN_SPECIFICATION_PROCESS",0.0000891398009211113,0.00160351201107466,-0.313116071301088,-1.60050726384974,2,301
"50","GO_NEGATIVE_REGULATION_OF_CELL_MOTILITY",0.0000920019627085378,0.00162862976295459,-0.3454304322181,-1.71612000105471,2,234
"51","GO_DIGESTIVE_SYSTEM_DEVELOPMENT",0.0000993838203140529,0.00168977775615328,-0.424957806353198,-1.8878249816357,2,105
"52","GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_BINDING",0.000106025799611239,0.00174881232119099,-0.559803424633324,-2.01424414769006,2,36
"53","GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",0.000118371212121212,0.00191446730268651,-0.312657177878717,-1.60329501155479,3,311
"54","GO_REGIONALIZATION",0.000153256704980843,0.00234024689968293,-0.329478172555062,-1.6385728617479,4,236
"55","GO_CALCIUM_ION_BINDING",0.00016735934841427,0.00251517912323193,-0.273052273560925,-1.46382781734033,5,498
"56","GO_EMBRYONIC_ORGAN_DEVELOPMENT",0.000235266439242442,0.0033301046768799,-0.298550282651232,-1.54246261025933,7,335
"57","GO_MICROTUBULE_ORGANIZING_CENTER_PART",0.0002540489044141,0.0035357796612947,-0.353417925556925,-1.6791349317711,7,164
"58","GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION",0.000282131661442006,0.00386199156314099,-0.342099802515688,-1.66110448690789,8,194
"59","GO_CARTILAGE_DEVELOPMENT",0.000285805017465862,0.0038962408050435,-0.352526712815573,-1.6749006631123,8,164
"60","GO_REGULATION_OF_VASCULATURE_DEVELOPMENT",0.000301286493326504,0.00407389961640269,-0.315679311331832,-1.59284761354301,9,266
"61","GO_ENDOTHELIAL_CELL_MIGRATION",0.000313745176167916,0.00419686744367244,-0.342909722057888,-1.65312938388975,9,182
"62","GO_ARTERY_MORPHOGENESIS",0.000382183309012577,0.00496589484457879,-0.482814285266387,-1.88873200315628,10,53
"63","GO_CENTRIOLE",0.000426887334581158,0.00540597552257027,-0.375865403304285,-1.70604438552331,12,121
"64","GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS",0.000485566534754425,0.00593786985241308,-0.229318560248665,-1.31031479005026,19,1338
"65","GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS",0.000500782472613459,0.00607945047957385,-0.327966068711951,-1.59747499369438,15,199
"66","GO_APPENDAGE_MORPHOGENESIS",0.000590841949778434,0.00692020166295657,-0.373769789907446,-1.69173339940955,17,118
"67","GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH",0.000813986409966025,0.00885798297170225,-0.528818791803346,-1.89013206336121,22,35
"68","GO_MYOBLAST_DIFFERENTIATION",0.000817299506214882,0.00887468092765866,-0.430163266995787,-1.76799490125684,23,68
"69","GO_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION",0.000849664245580375,0.00917618994225819,-0.258202338192523,-1.39794502134475,30,565
"70","GO_POSITIVE_REGULATION_OF_LOCOMOTION",0.000899836904561048,0.00957347446006758,-0.264812099738894,-1.41290178933147,31,471
"71","GO_RENAL_SYSTEM_VASCULATURE_DEVELOPMENT",0.000906585436611546,0.00960383871756542,-0.615072530890904,-1.96124541175161,24,22
"72","GO_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION",0.000933616637692357,0.00980690571319161,-0.351171505309685,-1.63210877457,28,140
"73","GO_PEPTIDYL_TYROSINE_MODIFICATION",0.000953061710745771,0.00996054716410561,-0.297865191487667,-1.51989196216465,31,296
"74","GO_EXTRACELLULAR_MATRIX_ASSEMBLY",0.00105163910646939,0.0107413578745733,-0.603295636180055,-1.92369312392162,28,22
"75","GO_PITUITARY_GLAND_DEVELOPMENT",0.00105163910646939,0.0107413578745733,-0.603762195095418,-1.92518081274873,28,22
"76","GO_POSITIVE_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION",0.00120704345356433,0.0119494906975381,-0.529902668580663,-1.86613084379223,33,33
"77","GO_GROWTH_FACTOR_BINDING",0.00143387864172587,0.0136794215734058,-0.356162947843737,-1.62672279893166,43,125
"78","GO_SKELETAL_SYSTEM_MORPHOGENESIS",0.00153822005964527,0.0145221362111638,-0.320670104156998,-1.55394368056049,48,191
"79","GO_CHONDROCYTE_DEVELOPMENT",0.00175783996624947,0.0161672673024917,-0.48795753263626,-1.81612443346205,49,42
"80","GO_REGULATION_OF_BMP_SIGNALING_PATHWAY",0.00188472345966692,0.0170668379346789,-0.419258678929762,-1.70758953536426,54,65
"81","GO_SMOOTH_MUSCLE_CELL_PROLIFERATION",0.00239619235187921,0.0206669001550584,-0.352925782916926,-1.59739056123602,72,118
"82","GO_REGULATION_OF_CARTILAGE_DEVELOPMENT",0.00245547293792149,0.0210870606260917,-0.430711615096645,-1.70903098301495,70,57
