"","pathway","pval","padj","log2err","ES","NES","size"
"1","GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",1e-10,7.17132867132867e-09,NA,-0.340768784115117,-1.80956074394055,898
"2","GO_ANIMAL_ORGAN_MORPHOGENESIS",1e-10,7.17132867132867e-09,NA,-0.33785423963144,-1.78422995297775,834
"3","GO_BIOLOGICAL_ADHESION",1e-10,7.17132867132867e-09,NA,-0.327556854995441,-1.75682502974737,1190
"4","GO_CIRCULATORY_SYSTEM_DEVELOPMENT",1e-10,7.17132867132867e-09,NA,-0.35666854539709,-1.89641230570599,919
"5","GO_EMBRYO_DEVELOPMENT",1e-10,7.17132867132867e-09,NA,-0.339949258317314,-1.79994151458312,866
"6","GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY",1e-10,7.17132867132867e-09,NA,-0.335735026019234,-1.77966425755368,883
"7","GO_EPITHELIUM_DEVELOPMENT",1e-10,7.17132867132867e-09,NA,-0.317470907702228,-1.68881096379154,926
"8","GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION",1e-10,7.17132867132867e-09,NA,-0.450223895795621,-2.2345990188569,331
"9","GO_HEART_DEVELOPMENT",1e-10,7.17132867132867e-09,NA,-0.415835505569575,-2.12298086012515,470
"10","GO_MUSCLE_ORGAN_DEVELOPMENT",1e-10,7.17132867132867e-09,NA,-0.419121505924278,-2.07137635214557,307
"11","GO_MUSCLE_STRUCTURE_DEVELOPMENT",1e-10,7.17132867132867e-09,NA,-0.434593314298316,-2.23691905140753,516
"12","GO_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION",1e-10,7.17132867132867e-09,NA,-0.378721652598572,-1.95743490644161,558
"13","GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS",1e-10,7.17132867132867e-09,NA,-0.359926968978558,-1.89381527613299,772
"14","GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS",1e-10,7.17132867132867e-09,NA,-0.313776226028998,-1.68220034009405,1135
"15","GO_REGULATION_OF_CELL_DIFFERENTIATION",1e-10,7.17132867132867e-09,NA,-0.329734586504274,-1.77873603112963,1523
"16","GO_RESPONSE_TO_GROWTH_FACTOR",1e-10,7.17132867132867e-09,NA,-0.39742775818888,-2.05906975490239,588
"17","GO_TISSUE_MORPHOGENESIS",1e-10,7.17132867132867e-09,NA,-0.358150720664442,-1.84871313710313,548
"18","GO_TUBE_DEVELOPMENT",1e-10,7.17132867132867e-09,NA,-0.329172561229299,-1.74467378653135,882
"19","GO_TUBE_MORPHOGENESIS",1e-10,7.17132867132867e-09,NA,-0.340459418955509,-1.7856541649771,729
"20","GO_VASCULATURE_DEVELOPMENT",1e-10,7.17132867132867e-09,NA,-0.340846906235576,-1.77156621716784,627
"21","GO_REGULATION_OF_CELL_POPULATION_PROLIFERATION",1.11085465916693e-10,7.85642381362542e-09,0.839088935621274,-0.295005944224382,-1.58699161777409,1333
"22","GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",5.02688544521434e-10,3.18214260744895e-08,0.801215574617779,-0.307335266145919,-1.63872969724479,958
"23","GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY",5.00918164041701e-10,3.18214260744895e-08,0.801215574617779,-0.418700625624495,-2.05537950009766,281
"24","GO_CELL_SUBSTRATE_JUNCTION",5.07730183103673e-10,3.19433928081483e-08,0.801215574617779,-0.376210173416335,-1.90841171358197,410
"25","GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION",5.69158332156675e-10,3.55897481479677e-08,0.801215574617779,-0.319560627206923,-1.68727397018202,828
"26","GO_UROGENITAL_SYSTEM_DEVELOPMENT",1.7046803498235e-09,9.55273059422949e-08,0.788186810800237,-0.406044114889732,-1.99060577867545,277
"27","GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",1.75082405205283e-09,9.75798948576183e-08,0.788186810800237,-0.49948279852104,-2.23954650829212,133
"28","GO_SENSORY_ORGAN_DEVELOPMENT",2.43438768091787e-09,0.000000131392871935856,0.774939030136436,-0.360518462098672,-1.82734476180764,420
"29","GO_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA",4.33242815794324e-09,0.00000022438914525105,0.761460801445585,-0.434769857851165,-2.07098029919726,215
"30","GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS",5.58499140564356e-09,0.00000028213835894027,0.761460801445585,-0.303994935508239,-1.61942321950669,938
"31","GO_SENSORY_SYSTEM_DEVELOPMENT",7.88661674725787e-09,0.000000392608032733638,0.747739663149885,-0.392191889256034,-1.93023379120423,289
"32","GO_CELL_SUBSTRATE_ADHESION",1.39330040120552e-08,0.000000655426404328559,0.747739663149885,-0.378828620669044,-1.878742536888,318
"33","GO_NEURAL_TUBE_DEVELOPMENT",1.69422411419323e-08,0.000000775636977279087,0.73376198835648,-0.473154283167011,-2.12698967136748,143
"34","GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS",1.81726438402567e-08,0.000000824603816733774,0.73376198835648,-0.409841433191605,-1.96547443906268,231
"35","GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT",1.90211018018762e-08,0.000000854228917911909,0.73376198835648,-0.304158023117039,-1.61228779331523,875
"36","GO_CELL_MOTILITY",2.62975054586441e-08,0.00000115248255759998,0.73376198835648,-0.280352394226248,-1.50751069959675,1327
"37","GO_OSSIFICATION",2.95082329709027e-08,0.0000012822327504941,0.73376198835648,-0.369380024263346,-1.8429303855945,341
"38","GO_EMBRYONIC_MORPHOGENESIS",3.01501131645886e-08,0.00000130459666878842,0.719512826338911,-0.346455547707252,-1.77317578773579,474
