"","pathway","pval","padj","ES","NES","nMoreExtreme","size"
"1","GO_CADHERIN_BINDING",0.0000297769704910222,0.00109177519868361,-0.324168706555538,-1.65371952505414,0,295
"2","GO_CELL_CYCLE",0.0000237309855478298,0.00109177519868361,-0.290940954849152,-1.6752098077011,0,1589
"3","GO_CELL_CYCLE_PHASE_TRANSITION",0.0000275345558676139,0.00109177519868361,-0.318086632629096,-1.71842090534324,0,548
"4","GO_CELL_CYCLE_PROCESS",0.0000247426761678543,0.00109177519868361,-0.306186704631686,-1.73814149381563,0,1175
"5","GO_CELL_DIVISION",0.0000276663438926546,0.00109177519868361,-0.315747856267235,-1.70011126464547,0,524
"6","GO_CHROMATIN_BINDING",0.000028303755908409,0.00109177519868361,-0.41449311662955,-2.20264502461784,0,449
"7","GO_CHROMATIN_ORGANIZATION",0.0000268802752540186,0.00109177519868361,-0.362135177698625,-1.98147228496739,0,650
"8","GO_CHROMOSOMAL_REGION",0.0000295884250081368,0.00109177519868361,-0.41069080020398,-2.10538155374076,0,310
"9","GO_CHROMOSOME",0.0000256127859027226,0.00109177519868361,-0.355956030223218,-1.99187542982108,0,912
"10","GO_CHROMOSOME_CENTROMERIC_REGION",0.0000313745176167916,0.00109177519868361,-0.395912384340221,-1.90864928550549,0,182
"11","GO_CHROMOSOME_ORGANIZATION",0.0000252143217347453,0.00109177519868361,-0.350505025160533,-1.97405332050135,0,1016
"12","GO_CHROMOSOME_SEGREGATION",0.0000300616263339847,0.00109177519868361,-0.369464908164238,-1.86940221541993,0,274
"13","GO_CONDENSED_CHROMOSOME",0.0000313833793622897,0.00109177519868361,-0.391794374878336,-1.89741357416425,0,190
"14","GO_COVALENT_CHROMATIN_MODIFICATION",0.0000286163971955931,0.00109177519868361,-0.337681217934105,-1.77983816103254,0,411
"15","GO_DNA_CONFORMATION_CHANGE",0.0000307134740010443,0.00109177519868361,-0.404406542118444,-2.00521186918823,0,230
"16","GO_MITOTIC_CELL_CYCLE",0.0000256370814746449,0.00109177519868361,-0.309024138172203,-1.72882621810185,0,909
"17","GO_MITOTIC_NUCLEAR_DIVISION",0.0000301468149889964,0.00109177519868361,-0.331595673603165,-1.67228733593663,0,265
"18","GO_MRNA_BINDING",0.0000310530074837748,0.00109177519868361,-0.447017577999163,-2.19326173971113,0,210
"19","GO_NUCLEAR_CHROMOSOME",0.000027900228781876,0.00109177519868361,-0.373699998453689,-2.00219863941213,0,494
"20","GO_NUCLEAR_CHROMOSOME_SEGREGATION",0.0000308737264587836,0.00109177519868361,-0.387437096840154,-1.91286469597346,0,222
"21","GO_NUCLEOPLASM_PART",0.0000251641963813886,0.00109177519868361,-0.316283349909197,-1.78267861556144,0,1031
"22","GO_PEPTIDYL_LYSINE_MODIFICATION",0.0000292269472453602,0.00109177519868361,-0.33760151265283,-1.75315527848874,0,352
"23","GO_PROTEIN_ACYLATION",0.0000309214594928881,0.00109177519868361,-0.348730044531095,-1.71739162495907,0,217
"24","GO_REGULATION_OF_CELL_CYCLE",0.0000250997715920785,0.00109177519868361,-0.297574379835845,-1.6796227783998,0,1060
