"","pathway","pval","padj","log2err","ES","NES","size"
"1","GO_CELL_CYCLE",1e-10,7.17132867132867e-09,NA,-0.350180421794544,-1.89122116950533,1627
"2","GO_CELL_CYCLE_PHASE_TRANSITION",1e-10,7.17132867132867e-09,NA,-0.367976092371729,-1.90368896461812,569
"3","GO_CELL_CYCLE_PROCESS",1e-10,7.17132867132867e-09,NA,-0.369438885498566,-1.98128635354114,1221
"4","GO_CELL_DIVISION",1e-10,7.17132867132867e-09,NA,-0.393247393088487,-2.0279878080835,545
"5","GO_CHROMATIN_BINDING",1e-10,7.17132867132867e-09,NA,-0.420925340262185,-2.1662163548656,510
"6","GO_CHROMATIN_ORGANIZATION",1e-10,7.17132867132867e-09,NA,-0.378568491589682,-1.98167551651775,683
"7","GO_CHROMOSOMAL_REGION",1e-10,7.17132867132867e-09,NA,-0.499361984980603,-2.47708083885062,319
"8","GO_CHROMOSOME_CENTROMERIC_REGION",1e-10,7.17132867132867e-09,NA,-0.527850484331557,-2.45510078966612,187
"9","GO_CHROMOSOME_ORGANIZATION",1e-10,7.17132867132867e-09,NA,-0.391120619290776,-2.09147599427074,1067
"10","GO_CHROMOSOME_SEGREGATION",1e-10,7.17132867132867e-09,NA,-0.447674358016006,-2.20333731748531,290
"11","GO_CONDENSED_CHROMOSOME",1e-10,7.17132867132867e-09,NA,-0.525232197401429,-2.45395527526948,192
"12","GO_DNA_CONFORMATION_CHANGE",1e-10,7.17132867132867e-09,NA,-0.462629955919199,-2.26801431142824,277
"13","GO_DNA_METABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,-0.331045261102418,-1.74844846589598,833
"14","GO_DNA_REPLICATION",1e-10,7.17132867132867e-09,NA,-0.458717565963401,-2.23367292626314,261
"15","GO_MITOTIC_CELL_CYCLE",1e-10,7.17132867132867e-09,NA,-0.378023838817471,-2.01474222579095,945
"16","GO_NUCLEAR_CHROMOSOME_SEGREGATION",1e-10,7.17132867132867e-09,NA,-0.477344041338486,-2.28919634743482,231
"17","GO_ORGANELLE_FISSION",1e-10,7.17132867132867e-09,NA,-0.387634421609597,-1.96068066034874,398
"18","GO_REGULATION_OF_CELL_CYCLE",1e-10,7.17132867132867e-09,NA,-0.334802309018222,-1.7901820639661,1068
"19","GO_REGULATION_OF_CELL_CYCLE_PROCESS",1e-10,7.17132867132867e-09,NA,-0.355236606800024,-1.85939586951251,678
"20","GO_REGULATION_OF_MITOTIC_CELL_CYCLE",1e-10,7.17132867132867e-09,NA,-0.358254440998486,-1.85465109753092,585
"21","GO_SISTER_CHROMATID_SEGREGATION",1e-10,7.17132867132867e-09,NA,-0.476635060206518,-2.21157005965734,180
"22","GO_SPINDLE",1e-10,7.17132867132867e-09,NA,-0.40414362004593,-2.02030391492587,346
"23","GO_MITOTIC_NUCLEAR_DIVISION",1.91301732676263e-10,1.32554004634803e-08,0.826657301178302,-0.426131889384086,-2.07277592988773,260
"24","GO_HISTONE_BINDING",1.99723929167503e-10,1.36544592907516e-08,0.826657301178302,-0.450992054504742,-2.13832314099743,212
"25","GO_KINETOCHORE",4.19034287475822e-10,2.71974469497757e-08,0.814035837847908,-0.507293806242788,-2.27636666320346,134
"26","GO_DNA_REPAIR",1.51338647349003e-09,8.52735070639575e-08,0.788186810800237,-0.3487977963528,-1.79449659199339,514
"27","GO_DNA_DEPENDENT_ATPASE_ACTIVITY",3.73543662088363e-09,0.000000196445654088008,0.761460801445585,-0.527746240052497,-2.2754907197222,101
"28","GO_MITOTIC_SISTER_CHROMATID_SEGREGATION",6.86353721909793e-09,0.00000034502732442083,0.761460801445585,-0.461077788029509,-2.09907755700516,155
"29","GO_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION",1.01436836711673e-08,0.000000497719981090051,0.747739663149885,-0.354051234359797,-1.79456459664424,420
"30","GO_REGULATION_OF_CHROMOSOME_SEGREGATION",1.21787686081612e-08,0.000000583613420919126,0.747739663149885,-0.530894069175979,-2.27849732447331,98
"31","GO_COVALENT_CHROMATIN_MODIFICATION",1.3250575049694e-08,0.000000632021614579592,0.747739663149885,-0.353820180765835,-1.79941970912917,430
"32","GO_CATALYTIC_ACTIVITY_ACTING_ON_DNA",2.41342712756924e-08,0.00000106679720660442,0.73376198835648,-0.432527702923385,-2.01443779101927,189
"33","GO_DOUBLE_STRAND_BREAK_REPAIR",0.000000167017978390301,0.00000600971708207908,0.690132458796796,-0.394126043917985,-1.89613280069564,233
"34","GO_PEPTIDYL_LYSINE_MODIFICATION",0.000000740129273090521,0.0000237419397302486,0.659444398037935,-0.347947998711074,-1.75008917455028,366
"35","GO_REGULATION_OF_CHROMOSOME_ORGANIZATION",0.00000137833918659538,0.0000412095287420863,0.643551836150722,-0.352019326110117,-1.7525916143273,326
"36","GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS",0.0000034997551041229,0.0000957066362474142,0.627256739718528,-0.432355522780991,-1.94402173677923,139
"37","GO_PROTEIN_ACETYLTRANSFERASE_COMPLEX",0.00000406665585873637,0.000109746199556162,0.610526878385931,-0.478414715226891,-2.00841301399149,88
"38","GO_MRNA_PROCESSING",0.00000500116168457748,0.000131842964203964,0.610526878385931,-0.316950452662213,-1.6216702780718,475
"39","GO_REGULATION_OF_SISTER_CHROMATID_SEGREGATION",0.00000698764541256494,0.000178699011735295,0.610526878385931,-0.492159928058801,-2.02976444214388,80
"40","GO_MITOTIC_SPINDLE_ORGANIZATION",0.0000145834554129693,0.000344592938387098,0.593325476396405,-0.43639290449115,-1.91064751669358,115
"41","GO_SPINDLE_ORGANIZATION",0.0000148841440436556,0.000350889418776295,0.593325476396405,-0.385196607540124,-1.78201405785643,176
"42","GO_PROTEIN_ACETYLATION",0.0000159071492798202,0.000371589557778032,0.575610261071129,-0.387408874542963,-1.79671492606751,182
"43","GO_CHROMOSOME_SEPARATION",0.0000184052721882725,0.000420369858108541,0.575610261071129,-0.466348469241551,-1.9356460951938,84
"44","GO_NUCLEAR_TRANSPORT",0.0000214100356627759,0.000474211481040533,0.575610261071129,-0.332040049773156,-1.65049274195667,324
"45","GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",0.0000226353647948631,0.000498123746719573,0.575610261071129,-0.329594446034447,-1.63587813220735,331
"46","GO_HELICASE_ACTIVITY",0.0000292650809622682,0.000619348755244809,0.575610261071129,-0.396252299051702,-1.79780955308651,149
"47","GO_PEPTIDYL_LYSINE_ACETYLATION",0.0000298944348754662,0.000628211945999807,0.575610261071129,-0.385820189955866,-1.76219702710457,158
"48","GO_CELL_CYCLE_G2_M_PHASE_TRANSITION",0.0000443606753985861,0.000876529337596341,0.557332238758646,-0.345688689113421,-1.68168850259904,259
"49","GO_CHROMATIN_REMODELING",0.0000483425058206019,0.000944290280362423,0.557332238758646,-0.374357440823289,-1.7341053117714,179
"50","GO_PROTEIN_ACYLATION",0.0000756735087864867,0.00137350766832818,0.538434096309916,-0.358500737147356,-1.71682889440992,223
"51","GO_SPINDLE_POLE",0.0000841142092961375,0.00150277215388831,0.538434096309916,-0.384665116136571,-1.75428574445582,157
"52","GO_TRANSCRIPTION_COACTIVATOR_ACTIVITY",0.000110137721310535,0.00189825602023452,0.538434096309916,-0.342520601938161,-1.64911724585687,242
"53","GO_MRNA_METABOLIC_PROCESS",0.000113089571455579,0.00194260227014567,0.538434096309916,-0.26647724800491,-1.40234439235059,784
"54","GO_REGULATION_OF_CHROMOSOME_SEPARATION",0.000145898740535129,0.00240932622252455,0.518848077743792,-0.488774716349914,-1.925949451808,62
"55","GO_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE",0.00040573784307316,0.0056000559632776,0.49849310876659,-0.479961831923264,-1.86924013566291,58
"56","GO_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION",0.000501227636577161,0.0066667826369634,0.477270815362862,-0.335677104754161,-1.58254274178441,206
"57","GO_ATPASE_ACTIVITY",0.000512381177677748,0.00677122290861509,0.477270815362862,-0.298884920806649,-1.50619419004581,379
"58","GO_IMPORT_INTO_NUCLEUS",0.000571824955259577,0.00741299168734568,0.477270815362862,-0.366088339891614,-1.65859955967525,148
"59","GO_REGULATION_OF_MRNA_METABOLIC_PROCESS",0.000575225293772065,0.00743875837028062,0.477270815362862,-0.30097833194327,-1.48622491405506,308
"60","GO_MICROTUBULE_PLUS_END_BINDING",0.000580259456102673,0.00748498204067032,0.477270815362862,-0.633330143300314,-1.96231751905471,20
"61","GO_METAPHASE_PLATE_CONGRESSION",0.00064915592324682,0.00819031674633954,0.477270815362862,-0.459800562043439,-1.80156680796384,60
"62","GO_HISTONE_METHYLATION",0.00117349305237446,0.013052246477332,0.45505986738723,-0.370446835440592,-1.63444636122209,121
"63","GO_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY",0.00151620846194872,0.016029605955963,0.45505986738723,-0.355187018109801,-1.59265013065925,136
"64","GO_BETA_CATENIN_TCF_COMPLEX_ASSEMBLY",0.00157061362618599,0.0164689598533101,0.45505986738723,-0.563685870384601,-1.87487284020245,29
"65","GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION",0.00166447422724623,0.0172068379036392,0.45505986738723,-0.247051448869802,-1.30688614389354,853
"66","GO_TERMINATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION",0.00200122650198312,0.0199450393564692,0.431707695803346,-0.509811850405238,-1.79460869846114,35
"67","GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME",0.00240674902167504,0.0230020607803145,0.431707695803346,-0.401263387092132,-1.65308749345754,82
"68","GO_HISTONE_METHYLTRANSFERASE_COMPLEX",0.00312139573918374,0.0280788713204643,0.431707695803346,-0.407195819043563,-1.64733962214522,71
"69","GO_TRANSFERASE_COMPLEX",0.00408828682950732,0.034677734852438,0.407017918923954,-0.24797314278132,-1.30091349102751,719
"70","GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL",0.00425437481950463,0.0357026299296399,0.407017918923954,-0.236871351174393,-1.26581306467647,1024
"71","GO_PEPTIDE_LYSINE_N_ACETYLTRANSFERASE_ACTIVITY",0.00455104236053652,0.0373367515258416,0.407017918923954,-0.432183104834193,-1.65177589629238,52
"72","GO_HISTONE_METHYLTRANSFERASE_ACTIVITY",0.0051234933931883,0.040509965109596,0.407017918923954,-0.428598246640604,-1.63807479995251,52
"73","GO_NUCLEOCYTOPLASMIC_CARRIER_ACTIVITY",0.00527019796680193,0.0413194802366619,0.407017918923954,-0.522107633772675,-1.75433441127781,30
