"","pathway","pval","padj","log2err","ES","NES","size"
"1","GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT",1e-10,7.17132867132867e-09,NA,0.57387681247412,2.67030276712563,82
"2","GO_CELLULAR_AMINO_ACID_METABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.371963559414866,2.07314807063214,293
"3","GO_CELLULAR_LIPID_CATABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.497614407905715,2.6208439457434,188
"4","GO_CELLULAR_LIPID_METABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.283110396482713,1.73195838371987,872
"5","GO_CELLULAR_RESPIRATION",1e-10,7.17132867132867e-09,NA,0.48302702273496,2.45190661606976,164
"6","GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",1e-10,7.17132867132867e-09,NA,0.292844408233294,1.73451895014488,606
"7","GO_ELECTRON_TRANSFER_ACTIVITY",1e-10,7.17132867132867e-09,NA,0.549233041681047,2.59751155556539,97
"8","GO_ELECTRON_TRANSPORT_CHAIN",1e-10,7.17132867132867e-09,NA,0.543979986463166,2.75466854133413,160
"9","GO_ENVELOPE",1e-10,7.17132867132867e-09,NA,0.290412114884913,1.80311169080435,1094
"10","GO_FATTY_ACID_CATABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.568061136579235,2.71116485087619,103
"11","GO_FATTY_ACID_METABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.391674057527153,2.21427906970444,311
"12","GO_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY",1e-10,7.17132867132867e-09,NA,0.371233516881396,2.15904307347095,459
"13","GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",1e-10,7.17132867132867e-09,NA,0.542293992588217,2.63869152501266,123
"14","GO_INTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE",1e-10,7.17132867132867e-09,NA,0.363253234353441,2.05981349547603,361
"15","GO_LEUKOCYTE_MEDIATED_IMMUNITY",1e-10,7.17132867132867e-09,NA,0.31594820560544,1.88007306064342,659
"16","GO_LIPID_CATABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.440566194990232,2.41250051407095,259
"17","GO_LIPID_METABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.263549274541986,1.63067773976344,1125
"18","GO_LIPID_OXIDATION",1e-10,7.17132867132867e-09,NA,0.536636299196265,2.53600512694599,99
"19","GO_MICROBODY",1e-10,7.17132867132867e-09,NA,0.530075501744294,2.5981341809826,124
"20","GO_MITOCHONDRIAL_ENVELOPE",1e-10,7.17132867132867e-09,NA,0.419760617123638,2.51140996928961,699
"21","GO_MITOCHONDRIAL_GENE_EXPRESSION",1e-10,7.17132867132867e-09,NA,0.441865829010884,2.25988536157357,165
"22","GO_MITOCHONDRIAL_MATRIX",1e-10,7.17132867132867e-09,NA,0.416040002325494,2.39883106073502,445
"23","GO_MITOCHONDRIAL_PROTEIN_COMPLEX",1e-10,7.17132867132867e-09,NA,0.511549437376219,2.79133602833853,247
"24","GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY",1e-10,7.17132867132867e-09,NA,0.590010764968961,2.75840018519645,95
"25","GO_MITOCHONDRIAL_TRANSLATION",1e-10,7.17132867132867e-09,NA,0.517771531225378,2.58120750705646,135
"26","GO_MITOCHONDRION",1e-10,7.17132867132867e-09,NA,0.349968265373104,2.17835689541344,1470
"27","GO_MITOCHONDRION_ORGANIZATION",1e-10,7.17132867132867e-09,NA,0.332783421840843,1.94214817041661,518
"28","GO_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.569356081062127,2.76168407813783,119
"29","GO_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.33294833773277,1.93908712579429,525
"30","GO_MYELOID_LEUKOCYTE_ACTIVATION",1e-10,7.17132867132867e-09,NA,0.316210848128273,1.85712250701878,565
"31","GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY",1e-10,7.17132867132867e-09,NA,0.335408165771984,1.95608031068691,477
"32","GO_NADH_DEHYDROGENASE_ACTIVITY",1e-10,7.17132867132867e-09,NA,0.724348650163583,2.81613956813643,38
"33","GO_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY",1e-10,7.17132867132867e-09,NA,0.64005925831714,2.74394204324146,59
"34","GO_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK",1e-10,7.17132867132867e-09,NA,0.268373509125571,1.64533157523854,950
"35","GO_ORGANELLE_INNER_MEMBRANE",1e-10,7.17132867132867e-09,NA,0.435426081893574,2.54523408551236,487
"36","GO_ORGANIC_ACID_CATABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.48626180389304,2.65332837333684,242
"37","GO_ORGANIC_ACID_METABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.32582213247858,1.99821503074105,961
"38","GO_OXIDATION_REDUCTION_PROCESS",1e-10,7.17132867132867e-09,NA,0.351471732921301,2.15385166799647,848
"39","GO_OXIDATIVE_PHOSPHORYLATION",1e-10,7.17132867132867e-09,NA,0.55773987320238,2.73372948550834,124
"40","GO_OXIDOREDUCTASE_ACTIVITY",1e-10,7.17132867132867e-09,NA,0.37326079162782,2.2127780947656,605
"41","GO_PEROXISOME_ORGANIZATION",1e-10,7.17132867132867e-09,NA,0.588098528813299,2.63623805612507,75
"42","GO_RESPIRASOME",1e-10,7.17132867132867e-09,NA,0.636667708139444,2.94906688717077,83
"43","GO_RESPIRATORY_CHAIN_COMPLEX",1e-10,7.17132867132867e-09,NA,0.634613831750422,2.80143448506814,69
"44","GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN",1e-10,7.17132867132867e-09,NA,0.580997209594357,2.74564337984473,99
"45","GO_SMALL_MOLECULE_CATABOLIC_PROCESS",1e-10,7.17132867132867e-09,NA,0.44623028919523,2.54355524915311,374
"46","GO_VACUOLAR_MEMBRANE",1e-10,7.17132867132867e-09,NA,0.384641069893443,2.19372947892507,394
"47","GO_VACUOLE",1e-10,7.17132867132867e-09,NA,0.337904764259565,2.02419584587848,707
"48","GO_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION",1.3774719282675e-10,9.67532508519397e-09,0.826657301178302,0.530808516749242,2.47953800263856,89
"49","GO_OXIDOREDUCTASE_COMPLEX",2.16947371017948e-10,1.47337436409871e-08,0.826657301178302,0.531822733849844,2.51517223446576,97
