"","pathway","pval","padj","ES","NES","nMoreExtreme","size"
"1","GO_B_CELL_MEDIATED_IMMUNITY",0.0000510673067102441,0.00118683875278486,0.443826806467054,2.078036485093,0,104
"2","GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN",0.0000463113045894503,0.00118683875278486,0.640020417409062,2.40701227035334,0,36
"3","GO_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE",0.0000452693526482571,0.00118683875278486,0.688318439400501,2.33794213656167,0,24
"4","GO_LUMENAL_SIDE_OF_MEMBRANE",0.0000457770656900893,0.00118683875278486,0.716653593335031,2.57547490022587,0,30
"5","GO_MHC_CLASS_II_PROTEIN_COMPLEX",0.0000433463372345037,0.00118683875278486,0.835409639140799,2.37797449618094,0,13
"6","GO_MHC_PROTEIN_COMPLEX",0.0000445871232388086,0.00118683875278486,0.765478573408273,2.51044272416015,0,21
"7","GO_HUMORAL_IMMUNE_RESPONSE",0.0000531208499335989,0.00118778815524729,0.426853849402275,2.09932003361057,0,141
"8","GO_RESPONSE_TO_INTERFERON_GAMMA",0.0000544099243702051,0.00118778815524729,0.406395470043347,2.04864522493914,0,167
"9","GO_LYMPHOCYTE_MEDIATED_IMMUNITY",0.0000563666084211713,0.00120786759876937,0.328834818675881,1.7086555335589,0,208
"10","GO_ADAPTIVE_IMMUNE_RESPONSE",0.0000638610383804841,0.00126740391525768,0.300659800500449,1.65930511978581,0,344
"11","GO_INFLAMMATORY_RESPONSE",0.000075295534974776,0.00140873359407757,0.265643549908158,1.53792889943562,0,575
"12","GO_INNATE_IMMUNE_RESPONSE",0.0000802503811893106,0.00148076516880351,0.303662934040477,1.77901431968542,0,673
"13","GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM",0.0000878117316473481,0.00158265080645092,0.296786570108051,1.76397483456446,0,819
"14","GO_PEPTIDE_ANTIGEN_BINDING",0.0000889877641824249,0.00159604210138867,0.652114820455946,2.10895591106905,1,20
"15","GO_RESPONSE_TO_BIOTIC_STIMULUS",0.000104036620890553,0.00176241713304235,0.254145248523842,1.54053539339632,0,1120
"16","GO_CELL_ACTIVATION",0.000107146683810136,0.00179100176804176,0.226725808172059,1.37860246837164,0,1182
"17","GO_DEFENSE_RESPONSE",0.000110692937790569,0.00183158920521477,0.262212335249749,1.59831440953213,0,1240
"18","GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY",0.000149105367793241,0.00229943560394953,0.436876236720257,1.95451045138754,2,81
"19","GO_REGULATION_OF_IMMUNE_RESPONSE",0.000251298374937175,0.00350539480807827,0.238492754034362,1.40601184189766,2,734
"20","HP_SEROSITIS",0.000321307261544111,0.00424085313961041,0.547953890590717,2.00220354397277,6,32
"21","GO_MHC_CLASS_II_RECEPTOR_ACTIVITY",0.000470226136023597,0.00584039083689628,0.816689876091979,1.98845954284673,10,8
"22","GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY",0.00054773082942097,0.00664078587019191,0.233636053548071,1.36389510457577,6,638
"23","GO_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE",0.0008587376556462,0.00947632429430534,0.433380545607263,1.79557875176606,17,55
"24","GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS",0.0009433368970505,0.0102337129309901,0.262996055628901,1.44282008701756,14,328
"25","HP_ABNORMALITY_OF_THE_NASAL_MUCOSA",0.00117497767542417,0.0121477530636595,0.458102613828563,1.8111783604844,24,45
"26","GO_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL",0.00212176322854421,0.0191908928088511,0.726986912106394,1.90227656561227,48,10
"27","GO_IMMUNE_RECEPTOR_ACTIVITY",0.00214209210996073,0.0193391696124624,0.348656498725339,1.62354513542164,41,101
"28","GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I_VIA_ER_PATHWAY",0.0021953896816685,0.0197357500468528,0.801156912670414,1.8696268565536,51,7
"29","GO_ANTIGEN_BINDING",0.00244705882352941,0.021551366926699,0.434481749815786,1.73447010765962,51,47
"30","GO_GRANULOCYTE_MIGRATION",0.0024730794992014,0.0217027446766228,0.338489122814691,1.60320193891269,47,111
"31","GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",0.00274630964641263,0.023592756441491,0.27396029851136,1.43914940987959,47,225
"32","GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I_TAP_INDEPENDENT",0.00299234813833198,0.0252236641529036,0.766938176535083,1.86732513840162,69,8
"33","GO_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS",0.00310748571111481,0.0259420508714415,0.28878894671597,1.47861231456381,55,187
"34","GO_SERINE_HYDROLASE_ACTIVITY",0.00317184222642861,0.0263006017684122,0.342598531300639,1.60036281030738,61,103
"35","HP_ELEVATED_ERYTHROCYTE_SEDIMENTATION_RATE",0.00321263022626096,0.0265194890401821,0.492417955618753,1.78283140826139,69,31
"36","GO_RESPONSE_TO_BACTERIUM",0.00331789590101611,0.0271905165473488,0.234461308272787,1.32537123051875,47,437
"37","GO_CHEMOKINE_ACTIVITY",0.00373644399890641,0.0294737259903035,0.509091572322291,1.78119461555053,81,27
"38","HP_CHRONIC_SINUSITIS",0.00412641845634437,0.0317018172495493,0.43319695716727,1.69654074462796,87,43
"39","HP_ARTHRALGIA",0.00499238005150034,0.036545510972825,0.312635968555855,1.51356892741294,94,128
"40","GO_REGULATION_OF_INFLAMMATORY_RESPONSE",0.00521054225992124,0.0376010888585506,0.251052505715174,1.35920614369737,85,289
"41","GO_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",0.00564818334872101,0.0398617362901838,0.289562026867255,1.45622148901364,103,164
"42","GO_NEUTROPHIL_MIGRATION",0.00580406284399079,0.0406891576362132,0.34293923944838,1.5630160594708,115,89
"43","GO_CHEMOKINE_RECEPTOR_BINDING",0.0067736846988958,0.0458725004666149,0.440088223130309,1.67665813319312,145,38
"44","GO_MHC_CLASS_I_PROTEIN_COMPLEX",0.00739537468473475,0.0491126166563263,0.726768393937237,1.76952058629552,172,8
