"","pathway","pval","padj","log2err","ES","NES","size"
"1","GO_HUMORAL_IMMUNE_RESPONSE",0.000000832758849617999,0.0000261961411129834,0.659444398037935,0.392247817414007,1.96495923683042,140
"2","GO_LUMENAL_SIDE_OF_MEMBRANE",0.00000675658677428232,0.000174092455704184,0.610526878385931,0.640953030049891,2.4030875068028,30
"3","GO_MHC_CLASS_II_PROTEIN_COMPLEX",0.00000730465544580282,0.000185418914843336,0.610526878385931,0.801601683502192,2.33145983915353,13
"4","GO_MHC_PROTEIN_COMPLEX",0.000024906396971782,0.00054343638499069,0.575610261071129,0.67477394095215,2.25859044355758,21
"5","GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM",0.0000287625633867081,0.000612475195316192,0.575610261071129,0.226721793087893,1.38759643244439,821
"6","GO_RESPONSE_TO_INTERFERON_GAMMA",0.0000623824505543661,0.0011631491462455,0.538434096309916,0.333026467942952,1.70780039872568,169
"7","GO_ADAPTIVE_IMMUNE_RESPONSE",0.000176846285040371,0.00281608486504503,0.518848077743792,0.262435010097576,1.48523833172015,346
"8","GO_DEFENSE_RESPONSE",0.00018322991794642,0.00289972655638972,0.518848077743792,0.201348585574807,1.26934813452949,1242
"9","GO_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE",0.000272543943305568,0.00405651398925776,0.49849310876659,0.609737992491152,2.13106706488444,24
"10","GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN",0.000292203066656041,0.00432401507728383,0.49849310876659,0.533983379304936,2.05665530466212,36
"11","GO_INNATE_IMMUNE_RESPONSE",0.000335190316807947,0.00481425307964355,0.49849310876659,0.222607981071174,1.32817385087512,675
"12","GO_MHC_PROTEIN_COMPLEX_ASSEMBLY",0.000755189945935706,0.00919771127739984,0.477270815362862,0.828792377783938,1.97516238358771,7
"13","GO_RESPONSE_TO_BIOTIC_STIMULUS",0.000766056406548355,0.00929031872981997,0.477270815362862,0.201341820165567,1.24992288532202,1121
"14","GO_SERINE_HYDROLASE_ACTIVITY",0.000812811045726167,0.00968104212999053,0.477270815362862,0.346514492209608,1.65379719030799,103
"15","GO_LYMPHOCYTE_MEDIATED_IMMUNITY",0.000886582111606709,0.0104384610270113,0.477270815362862,0.284088334039783,1.51075129078372,209
"16","GO_IMMUNE_RECEPTOR_ACTIVITY",0.00109741320183799,0.0124353286020426,0.45505986738723,0.334059529329747,1.58710344734537,101
"17","GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY",0.00163623021815453,0.0170350668905327,0.45505986738723,0.364816838722133,1.68521502372116,81
"18","GO_CHEMOKINE_ACTIVITY",0.00195185615660008,0.0196430666201509,0.45505986738723,0.528668325924794,1.91125820728587,28
"19","GO_PEPTIDE_ANTIGEN_BINDING",0.00197677899338949,0.0198160983159425,0.431707695803346,0.581035683953659,1.91863238851659,20
"20","GO_MHC_CLASS_II_RECEPTOR_ACTIVITY",0.00236271064763442,0.0226656666898887,0.431707695803346,0.774754062490015,1.89821680134922,8
"21","GO_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE",0.00267428543317246,0.024977046554812,0.431707695803346,0.39810371543439,1.69401255696932,55
"22","GO_B_CELL_MEDIATED_IMMUNITY",0.00363782252802159,0.0316419593086187,0.431707695803346,0.314015200435958,1.4977153059539,105
"23","GO_CHEMOKINE_RECEPTOR_BINDING",0.00434682804902943,0.0362412371079649,0.407017918923954,0.456580506225599,1.78512608863881,39
"24","GO_ANTIMICROBIAL_HUMORAL_RESPONSE",0.00518700399567234,0.0409174815197075,0.407017918923954,0.405275948670738,1.6919026584472,51
"25","GO_T_CELL_MEDIATED_IMMUNITY",0.00621877009650056,0.0465839936739323,0.407017918923954,0.331183517746029,1.53748111693167,86
