gene,TUNG2_81s_1,TUNG2_95s_3,TUNG3_81s_2,TUNG3_95s_4,TUNG4_81s_3,TUNG4_95s_4,TUNG6_81s_4,TUNG6_95s_5,TUNG7_81s_5,TUNG7_95s_5
?|100130426,0,0,0,0,0,0,0,0,0,0
?|100133144,9.5032,10.4167,9.4563,13.4712,14.5433,28.2386,8,0,0,0
?|100134869,5.6156,2.9605,0,3.8346,0,2.9261,0,4.2802,0,0
?|10357,64.7948,54.8246,108.487,105.1128,28.7985,29.8295,44,21.1132,79.2075,83.8574
?|10431,1657.689,2095.8333,2804.539,2804.2231,780.6416,970.9375,776.8,754.5873,2283.0655,1985.8491
?|136542,0,0,0,0,0,0,0,0,0,0
?|155060,17.2786,13.1579,146.5721,156.6416,457.8966,480.1136,480,539.3474,11.3749,10.4822
?|26823,0,0,0,0,0,0,0,0,0,0
?|280660,0,0,0,0,0,0,0,0,0,0
?|317712,0,0,0,0,0,0,0,0,0,0
?|340602,0,0,0,0,0,1.4205,0,0,0,0
?|388795,0,2.193,0,1.2531,0,7.1023,0,1.9194,0,0
?|390284,82.0734,89.9123,189.1253,216.792,28.7985,22.7273,72,51.8234,170.6242,10.4822
?|391343,0,6.5789,0,0,0,0,4,1.9194,0,0
?|391714,2.1598,2.193,0,0,0,0,0,0,0,0
?|404770,0,4.386,0,0,0,0,0,0,0,0
?|441362,0,7.8289,0,0,5.7597,8.2955,0.96,2.2841,0,0
?|442388,0,0,0,0,0,0,0,0,0,0
?|553137,0,0,0,1.2531,2.8799,0,0,0,0,0
?|57714,56.1555,70.1754,63.8298,70.1754,1350.6508,1400.5682,464,499.0403,132.7077,150.9434
?|645851,0,4.386,0,0,8.6396,5.6818,4,5.7582,0,0
?|652919,1.1447,5.0439,0,0,0,0,0,0,0,0
?|653553,1369.3305,1166.6667,4869.9764,4115.2882,3228.3147,2610.7955,4228,3474.0883,1656.9506,1622.6415
?|728045,0,0,0,0,0,0,0,0,0,0
?|728603,0,0,0,1.2531,0,0,0,0,0,0
?|728788,0,0,0,0,0,1.4205,4,0,0,0
?|729884,773.2181,859.6491,1182.0331,1082.7068,69.1165,79.5455,28,7.6775,1372.5769,1129.979
?|8225,749.46,984.6491,401.8913,432.3308,1246.9762,1366.4773,1256,1604.6065,724.2049,1144.6541
?|90288,6.4795,6.5789,0,2.5063,11.5194,11.3636,4,1.9194,3.7916,2.0964
A1BG|1,580.9935,756.5789,89.8345,110.2757,43.1978,61.6193,16,15.5278,125.1244,234.8008
A1CF|29974,0,0,0,0,0,0,0,0,0,0
A2BP1|54715,8.6393,6.5789,2.3641,2.5063,63.3568,63.9205,4,13.4357,0,4.1929
A2LD1|87769,49.7408,71.4693,533.7589,790.401,43.1978,72.983,60,100.2111,87.2079,103.1866
A2ML1|144568,1237.581,1429.8246,4730.4965,4778.1955,3887.8009,3674.7159,2344,2318.618,2278.781,2297.6939
A2M|2,3321.1879,4041.0088,1576.8085,1567.6065,3680.4228,3752.7699,2024,2128.5988,4633.2812,4551.153
A4GALT|53947,142.5486,214.9123,132.3877,194.2356,1154.8209,1311.0795,664,725.5278,451.2062,547.1698
A4GNT|51146,0,2.193,0,0,0,0,0,0,0,0
AAA1|404744,0,2.193,0,0,0,0,0,0,0,0
AAAS|8086,1360.6911,1603.0702,598.1087,704.2607,1877.6639,1879.2614,1472,1451.0557,868.2876,1071.2788
AACSL|729522,2.1598,4.386,16.5485,15.0376,2.8799,2.8409,4,0,0,0
AACS|65985,2265.6587,2480.2632,1434.9882,1418.5464,1068.4253,1129.2614,1240,1307.1017,663.5386,696.0168
AADACL2|344752,0,2.193,0,0,5.7597,1.4205,4,1.9194,41.7081,31.4465
