pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
GO_ACTIN_BINDING,2.8812631457631e-05,0.00103117025619017,-0.353285759030935,-1.84321885066511,0,369,MTSS2|SYNPO2|WASF1|OPHN1|ABL1|AFAP1|MPRIP|SVIL|PALLD|CORO6|PLEKHH2|WASF3|MYH10|ANTXR1|KLHL5|FERMT2|FSCN1|ADD3|TMOD3|SORBS1|FMNL2|JMY|CTNNAL1|CCDC88A|DST|SAMD14|PHACTR4|HIP1|DMD|MYO9A|MARCKSL1|PDLIM5|PDLIM4|DAAM2|PTK2|CNN2|MYH11|TMOD2|NEXN|RDX|EPB41L2|PPP1R9A|LMOD1|PFN2|CDK5R1|ENAH|TPM4|PLS3|CROCC|VCL|KIF18A|UTRN|PHACTR2|ITGB1|FERMT1|SMTN|CNN1|MED28|CACNB2|MYLK|SSH2|MACF1|PAWR|MICAL3|TTN|TPM2|MYO1E|MYOZ3|TMSB15A|SYNE2|TRPC6|NCALD|WASF2|AIF1L|FHL3|DIAPH3|MARCKS|MYO10|LDB3|MYH15|SYNE1|TRPV4|SHANK3|MYOZ1|GCSAM|EGFR|CORO2B|TAGLN|DAAM1|RCSD1|CFL2|MRTFA|CALD1|ACTN1|CORO1C|MYOM1|IQGAP1|STK38L|EEF2|SPTBN1|VASH2|PKNOX2|PPP1R18|HNRNPU|ANLN|WIPF1|SPTBN2|CXCR4|DBN1|ACTR3|CNN3|TPM1|MAP1A|MAP1B
GO_ACTIN_CYTOSKELETON,2.81769512538743e-05,0.00103117025619017,-0.363730350349123,-1.9273368487243,0,435,MTSS2|FBLIM1|SYNPO2|WASF1|OPHN1|ABL1|AFAP1|PPP1R12A|MPRIP|SVIL|PALLD|PLEKHH2|DPYSL3|TAF5|AKAP13|PEAK1|MYH10|CTTNBP2NL|FERMT2|FSCN1|TMOD3|SORBS1|YES1|CALB2|SAMD14|SH3PXD2A|JAM3|TJP1|CIB2|CCDC102A|VANGL2|MYO9A|PDLIM5|PDLIM4|PTK2|CNN2|DGKH|MYH11|TMOD2|NEXN|RDX|EPB41L2|PKD2|PPP1R9A|SEPTIN7|LMOD1|TPM4|ITSN1|PLS3|CROCC|VCL|UTRN|ARHGAP6|CDC42EP3|SMTN|SH3GL1|ZNF74|MED28|NOTCH3|HNRNPC|MYLK|SPECC1|MACF1|AFAP1L1|PAWR|DLC1|TPM2|MYADM|MYO1E|MYOZ3|AMPH|ANXA1|HNRNPK|PRKCZ|FER|RFLNB|WASF2|AIF1L|TSC1|NPM3|ASAP1|FHL3|ROR1|MARCKS|MYO10|LDB3|STK17B|MYH15|AMOT|TRPV4|MARK2|HDAC4|DDR2|LPP|CRYAB|MYOZ1|CORO2B|DAAM1|RCSD1|CFL2|EEF1A1|ARHGAP21|ADAM17|CALD1|INTS6|ACTN1|CLIC4|CORO1C|CLDN5|SEPTIN9|DAPK1|TTC17|CDH1|TEK|SH3PXD2B|BAG3|IQGAP1|ILK|STK38L|ACTA2|SEPTIN2|ACTA1|SPTBN1|CASK|EHBP1|PKNOX2|CTTNBP2|ANLN|WIPF1|SPTBN2|TOPBP1|DBN1|ACTR3|SEPTIN11|SPRY2|CNN3|TPM1|CARMIL2|TMOD1|EFR3B|KRT19|ABLIM1|ARHGEF5|DHX9|PGM5|EHBP1L1|ACTG2|FYN|ZNF268|MTSS1|KLHL2|DDX58|BMF|GSN|KANSL2|MYH14|DCDC2|SORBS2|LPXN|SWAP70
GO_ACTIN_FILAMENT_BASED_PROCESS,2.65590141293955e-05,0.00103117025619017,-0.347771730021241,-1.91046714922487,0,686,SFRP1|AMOTL1|PDGFRA|RAP2A|FZD10|FAT1|GPM6B|RGS4|SYNPO2|WASF1|OPHN1|PTK7|SHANK1|ABI2|PLEKHG2|ABL1|THSD7B|MPRIP|CLASP1|SVIL|NCK2|PALLD|CORO6|PLEKHH2|DPYSL3|WASF3|AKAP13|MYH10|ANTXR1|OBSL1|SCN5A|FSCN1|ADD3|TMOD3|SORBS1|MEF2A|FMNL2|JMY|NTRK3|CCDC88A|CCL21|SAMD14|FNBP1L|PHACTR4|JAM3|TJP1|PAK3|HIP1|DMD|VANGL2|MARCKSL1|STMN1|PDLIM5|PDLIM4|DAAM2|FCHSD2|S1PR1|CNN2|PHLDB2|MYH11|TMOD2|ROCK1|RDX|EPB41L2|FRMD5|PPP1R9A|LMOD1|PFN2|TBCK|CDK5R1|ENAH|TPM4|KIRREL1|FGD1|PLS3|FRMD3|ROCK2|ABI1|PHACTR2|ARHGEF17|CCDC88C|ITGB1|SCN4B|ARHGAP6|CACNA2D1|CDC42EP3|EFS|SMTN|CNN1|TACSTD2|RHOJ|KIT|CACNB2|SSH2|SPECC1|PAWR|MICAL3|TTN|FAM171A1|GRHL3|SEMA5A|DLC1|TPM2|MYADM|FGD6|MYO1E|TMSB15A|SYNE2|CACNA1C|ANXA1|FGF13|FER|RFLNB|WASF2|FRMD6|AIF1L|TSC1|EFNA5|TF|KANK4|FHL3|ARHGAP44|SIX4|MCU|DIAPH3|MARCKS|LDB3|NF1|AMOT|TRPV4|SHANK3|ARPIN|MYOZ1|ATXN3|WNT4|CORO2B|DAAM1|CFL2|GJC1|MEF2C|PAM|MRTFA|FGF12|ACTN1|PLN|CORO1C|EHD2|SGCD|PDE4D|CDC42BPG|SCN3B|TTC17|TEK|TGFB3|SH3PXD2B|IQGAP1|ILK|CCN2|ACTA1|SPTBN1|ARHGAP26|LATS1|ELMO1|EHBP1|NOTCH2|RGCC|C15orf62|ARHGEF18|PRKAR1A|ANLN|TRIM32|WIPF1|SPTBN2|PDGFRB|KIF23|CCR7|SLIT2|GJA1|DBN1|STARD13|VIM|CSRP1|ACTR3|STRIP1|KCNJ2|CNN3|TPM1|NCK1|LPAR1|AMOTL2|SMAD3|KANK1|CARMIL2|TAOK1|NRP1|TMOD1|PHACTR3|KRT19|RHOBTB3|ARHGEF5|PPM1E|PGM5|EHBP1L1|MTSS1|CAV1|AKAP11|CLASP2|ADORA1|GSN|TLN1|ARHGAP28|MYH14|FES|MRAS|SORBS2|CYFIP1|SWAP70|TENM1|PROX1|RND3|TGFBR1|MAPKAP1|CX3CL1|NPHP4|SMAD4|ATP2A2|CAPZB|MYH9|MTOR|ATP1A2|NOX4|CDC42EP5|PAK2|PRKG1|BCAR1|EDN1|THSD7A|GAB1|ARHGEF10|CAPZA1|PPP1R9B|DSP|AGAP2|SRC|FHDC1|DIAPH2|CRACD
GO_ACTIN_FILAMENT_BUNDLE,3.39351160580969e-05,0.00103117025619017,-0.538294329343271,-2.21507162165105,0,69,FBLIM1|SYNPO2|PALLD|MYH10|FERMT2|FSCN1|SORBS1|VANGL2|PDLIM5|PDLIM4|PTK2|CNN2|SEPTIN7|TPM4|PLS3|MYLK|PRKCZ|RFLNB|FHL3|ROR1|MARCKS|LDB3|LPP|CRYAB|DAAM1|ACTN1|SEPTIN9|TEK|BAG3|ILK|ACTA1|SEPTIN11|TPM1|ABLIM1|PGM5|MYH14|MYH9|NOX4
GO_ACTIN_FILAMENT_ORGANIZATION,2.87075845438365e-05,0.00103117025619017,-0.326017331895793,-1.7060221310773,0,380,SFRP1|FAT1|RGS4|SYNPO2|WASF1|SHANK1|ABI2|PLEKHG2|ABL1|MPRIP|CLASP1|SVIL|NCK2|CORO6|PLEKHH2|DPYSL3|WASF3|FSCN1|ADD3|TMOD3|SORBS1|JMY|CCDC88A|CCL21|SAMD14|TJP1|PAK3|HIP1|MARCKSL1|STMN1|FCHSD2|S1PR1|PHLDB2|TMOD2|ROCK1|RDX|PPP1R9A|LMOD1|PFN2|ENAH|TPM4|KIRREL1|PLS3|ROCK2|ABI1|ARHGAP6|CDC42EP3|EFS|TACSTD2|SSH2|PAWR|MICAL3|TTN|FAM171A1|SEMA5A|DLC1|TPM2|MYADM|MYO1E|TMSB15A|FER|RFLNB|WASF2|AIF1L|TSC1|TF|KANK4|MCU|DIAPH3|MARCKS|TRPV4|SHANK3|ARPIN|WNT4|CORO2B|CFL2|ACTN1|CORO1C|TTC17|TGFB3|SH3PXD2B|CCN2|ACTA1|SPTBN1|LATS1|ELMO1|RGCC|C15orf62|ARHGEF18|WIPF1|SPTBN2|CCR7|SLIT2|DBN1|ACTR3|TPM1|NCK1|LPAR1|SMAD3|KANK1|CARMIL2|NRP1|TMOD1|RHOBTB3|ARHGEF5|PPM1E|CLASP2|GSN|ARHGAP28|SORBS2|CYFIP1|SWAP70|TENM1|PROX1|RND3|TGFBR1|CX3CL1|CAPZB|MTOR|NOX4|CDC42EP5|PAK2|BCAR1|ARHGEF10|CAPZA1|PPP1R9B|SRC|FHDC1|DIAPH2|CRACD|PPFIA1|SPTB
GO_ACTOMYOSIN,3.38180588434224e-05,0.00103117025619017,-0.50574113216469,-2.10287511933677,0,73,FBLIM1|SYNPO2|PALLD|MYH10|FERMT2|FSCN1|SORBS1|VANGL2|PDLIM5|PDLIM4|PTK2|CNN2|SEPTIN7|TPM4|MYLK|PRKCZ|FHL3|ROR1|LDB3|HDAC4|LPP|DAAM1|ACTN1|SEPTIN9|TEK|BAG3|ILK|ACTA1|DBN1|SEPTIN11|TPM1|ABLIM1|PGM5|MYH14|MYH9|NOX4
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION,3.16225532049458e-05,0.00103117025619017,-0.46050518076435,-2.19191458059924,0,167,SFRP1|PDGFRA|ABL1|CLASP1|AKAP13|MYH10|OBSL1|TMOD3|SORBS1|MEF2A|CCDC88A|TJP1|STMN1|S1PR1|CNN2|PHLDB2|MYH11|TMOD2|ROCK1|EPB41L2|FRMD5|PPP1R9A|LMOD1|PFN2|FRMD3|ROCK2|ITGB1|ARHGAP6|CNN1|TACSTD2|TTN|FAM171A1|DLC1|WASF2|FRMD6|TSC1|SIX4|LDB3|MYOZ1|WNT4|CORO2B|CFL2|MEF2C|CDC42BPG|TGFB3|SH3PXD2B|CCN2|ACTA1|RGCC|ARHGEF18|PRKAR1A|ANLN|PDGFRB|KIF23|CSRP1|CNN3|TPM1|LPAR1|SMAD3|NRP1|TMOD1|KRT19|ARHGEF5|PPM1E|PGM5|CLASP2|ARHGAP28|MYH14|PROX1|TGFBR1|SMAD4|MYH9|MTOR|NOX4|PAK2|EDN1|ARHGEF10|SRC|FHDC1
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,3.37211262856179e-05,0.00103117025619017,-0.519795703319462,-2.18200790478959,0,77,RBFOX2|HNRNPA1|SRSF12|RBM7|YTHDC1|SFPQ|RBM4|SRSF4|SRSF10|KDM1A|RBM4B|REST|QKI|SRSF1|CELF2|RBM17|DDX17|KHDRBS1|MBNL1|RBMX|SMU1|DYRK1A|CELF5|MBNL3|KHDRBS3|FXR1|FMR1|TRA2B|RBM25|CELF1|HNRNPU|DDX5|DHX9|MBNL2|RBM11|SRSF3|SREK1|THRAP3|NOVA2|RBM10|HNRNPL|RBM15|SRSF8
GO_AMEBOIDAL_TYPE_CELL_MIGRATION,2.89905490809996e-05,0.00103117025619017,-0.347456135914049,-1.80589007548642,0,356,AMOTL1|SOX8|MAP4K4|ADGRB1|AKT3|ARHGEF7|ADAMTS9|ABL1|CLASP1|DAB2IP|ADGRA2|RCC2|AGO2|CDH13|SMURF2|LRP5|ROBO1|ETS1|PIK3CA|HIF1A|DOCK1|PHACTR4|PRKX|PAK3|SEMA5B|PTK2|MTA2|FGF2|FOXC2|LOXL2|PFN2|PTEN|NRP2|ROCK2|ZFAND5|ITGB1|FERMT1|TACSTD2|RHOJ|TGFB2|KIT|PTGS2|ATP2B4|NRTN|TBXA2R|MACF1|MAPRE2|CYP1B1|SEMA5A|JCAD|SIRT1|SEMA4B|NOTCH1|SPARC|SEMA4C|ANXA1|FAT2|BMPR2|NR2F2|ARID5B|FER|WASF2|EGR3|SMO|EDNRB|ANGPT1|ATOH8|NF1|AMOT|DDR2|HAS2|PTN|ACVR1|PRR5L|MEF2C|ADAM17|ITGA2|PKN2|SP1|PTPN11|CORO1C|PIK3C2A|FLT4|PLPP3|TEK|IQGAP1|ILK|ANXA3|HMGB1|TGFBR2|NFE2L2|KANK2|RGCC|ITGB3|RIN2|ANLN|LAMA5|PPARD|SLIT2|GJA1|STARD13|S100A2|AMOTL2|PRKD1|KANK1|RAB11A|THBS1|SEMA4D|NRP1|WNT5A|EFNB2|TNS1|MARVELD3|AKAP12|KDR|PTPRG|VASH1|TGFB1|CLASP2|LPXN|ITGA4|FBXW7|PROX1|TGFBR1|SEMA3A|MYH9|MTOR|PLEKHG5|CCBE1|BCAR1|EDN1|ENPP2|SRC|FGF1|BMPER|SEMA3D|DOCK5|FAP|HDAC7|FUT1|EFNB1|EPHA2|SRF|CDH5|AGT|CARD10|MMRN2|DMTN|PDGFB
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,2.55043484914178e-05,0.00103117025619017,-0.336851682770333,-1.88288458354835,0,897,SFRP1|AMOTL1|BMPR1A|HEY2|PDGFRA|GLI2|SOX8|EDNRA|PTCH1|MTMR2|SOX4|ADGRB1|DLL1|OPHN1|AKT3|PTK7|ADAMTS9|ALDH1A2|ABL1|CLASP1|DAB2IP|PRICKLE1|RECK|TMEM100|ADGRA2|LEF1|NFIB|DCHS1|LAMB1|TET1|AKAP13|AGO2|TP63|MYH10|OBSL1|ALDH1A3|NGFR|SOX11|TEAD2|EPHB1|TMOD3|FZD7|MEF2A|KLF5|CDH13|NCMAP|ROBO1|ETS1|MEGF11|PIK3CA|COL4A2|HIF1A|ATM|TOPORS|PTPN14|STAB2|RELN|PHACTR4|SH3PXD2A|JAM3|TJP1|PRKX|MIB1|VANGL2|ATF2|PTK2|S1PR1|JAK1|PHLDB2|MYH11|TMOD2|FGF2|PDE3B|DLX5|NKD1|FOXC2|TANC1|CEMIP2|ROCK1|HTRA1|CALCRL|SUFU|LOXL2|E2F8|SLC12A6|COL4A1|RUNX1|LMOD1|CDK5R1|JAM2|PHLDB1|EMILIN1|PTEN|ARID1A|COL15A1|NRP2|ROCK2|ABI1|EGR2|ITGB1|PROM1|FOXJ2|RHOJ|TGFB2|TAL1|NOTCH3|PTGS2|SULF1|ATP2B4|VAV2|SDK2|TBXA2R|OLFM1|CYP1B1|TTN|ELK3|GRHL3|SEMA5A|DLC1|FOXO1|BMP2|FZD3|PLCD3|ETS2|JCAD|COL22A1|SIRT1|TENM4|HEYL|HSBP1|NOTCH1|SPARC|SEMA4C|SPRY1|CASP9|ANXA1|BMPR2|SOX7|HERC1|CC2D2A|EP300|SETD2|WASF2|EGR3|TSC1|SMO|EXT2|LMO4|PRKACB|ADGRG6|DKK1|HEY1|SIX4|ANGPT1|SKI|LDB3|LAMB3|ATOH8|LEPR|NF1|LAMA3|KDM2B|DVL3|AMOT|ITGA8|MYOZ1|MFGE8|ANGPTL1|RPS7|PTN|B4GALT1|WNT4|ACVR1|BMERB1|CFL2|DICER1|F3|MEF2C|TTC21B|EPAS1|ADAM17|RTF1|ITGA2|SP1|LUZP1|MAP2K1|NPHP3|AGTPBP1|GDF7|HIPK1|NECTIN1|PTPN11|CSPG4|ATP8A2|GABPA|ACTN1|CLIC4|EHD2|CLDN5|PIK3C2A|FLT4|SFRP2|TM4SF1|ROR2|FBN2|RIPOR2|TEK|ACVR2B|SALL1|ILK|ANXA3|TGFBR2|JAG1|SMAD2|MMP2|CCN2|FUZ|PPP3CB|PRKDC|CACNA1H|ACTA1|NFE2L2|TGFBI|FBLN5|FOXF1|FZD8|LATS1|TBPL1|KIF20B|VASH2|SDK1|INHBA|POGLUT1|NOTCH2|RGCC|ITGB3|COL12A1|WLS|MFSD14A|NFASC|FZD6|MEOX1|PRKAR1A|PDGFRB|PTGFRN|GNA13|STIL|ANGPTL2|RFX2|CXCR4|E2F2|COL5A1|SSBP3|SLIT2|GJA1|KDM6B|STARD13|HDAC2|CSRP1|FOXO4|APOLD1|ACTL6A|SPRY2|TPM1|ADAM12|KDM4C|TBX18|AMOTL2|LRP6|PRKD1|SMAD3|MED12|RDH10|THBS1|SNAI2|NRP1|TMOD1|WNT5A|KRT19|COL5A2|AXIN2|EFNB2|COL18A1|CD160|CCN1|AGO1|MED1|PGM5|KDR|TIE1|VASH1|ITGB4|TGFB1|CAV1|SEC24B|MMP15|CEP290|GTF2I|BTG1|CLASP2|PTPRB|ADGRG1|PIKFYVE|KNDC1|CCDC136|BCL2L11|UGT8|NOLC1|PLXDC1|ADA|OSR1|ITGA4|FBXW7|PPP1R16B|PROX1|SKIL|ITGA5|SP3|TNFAIP3|TGFBR1
